tus,erg,typ,adr,dau,det,kev,cal_abc,remove_VD
-465101.30555555556,2048,0,12,4,3,35887.0095,"0.002252, 12.903900, 14.249700",False
-464365.75,1742,0,12,4,3,29326.6816,"0.002252, 12.903900, 14.249700",False
-464025.47222222225,1104,0,12,4,3,17004.9289,"0.002252, 12.903900, 14.249700",False
-462150.5,1660,0,12,4,3,27640.3349,"0.002252, 12.903900, 14.249700",False
-461830.0833333333,1841,0,12,4,3,31402.9904,"0.002252, 12.903900, 14.249700",False
-461716.19444444444,51,0,12,4,3,678.2061,"0.002252, 12.903900, 14.249700",False
-460832.30555555556,175,0,12,4,3,2341.3997,"0.002252, 12.903900, 14.249700",False
-460801.44444444444,69,0,12,4,3,915.3406,"0.002252, 12.903900, 14.249700",False
-459775.02777777775,33,0,12,4,3,442.5308,"0.002252, 12.903900, 14.249700",False
-457736.75,110,0,12,4,3,1460.9279,"0.002252, 12.903900, 14.249700",False
-457360.25,47,0,12,4,3,625.7077,"0.002252, 12.903900, 14.249700",False
-457244.52777777775,1764,0,12,4,3,29784.2687,"0.002252, 12.903900, 14.249700",False
-454456.5833333333,152,0,12,4,3,2027.6727,"0.002252, 12.903900, 14.249700",False
-453946.80555555556,376,0,12,4,3,5184.4949,"0.002252, 12.903900, 14.249700",False
-453854.94444444444,585,0,12,4,3,8333.7219,"0.002252, 12.903900, 14.249700",False
-451924.1388888889,96,0,12,4,3,1273.7785,"0.002252, 12.903900, 14.249700",False
-450286.22222222225,993,0,12,4,3,15048.4047,"0.002252, 12.903900, 14.249700",False
-449261.75,280,0,12,4,3,3803.8985,"0.002252, 12.903900, 14.249700",False
-445934.8611111111,143,0,12,4,3,1905.5585,"0.002252, 12.903900, 14.249700",False
-443247.72222222225,57,0,12,4,3,757.0887,"0.002252, 12.903900, 14.249700",False
-439917.0833333333,34,0,12,4,3,455.5856,"0.002252, 12.903900, 14.249700",False
-438314.8333333333,33,0,12,4,3,442.5308,"0.002252, 12.903900, 14.249700",False
-437707.25,1838,0,12,4,3,31339.4234,"0.002252, 12.903900, 14.249700",False
-437647.75,1824,0,12,4,3,31043.3133,"0.002252, 12.903900, 14.249700",False
-437108.8333333333,1910,0,12,4,3,32876.2199,"0.002252, 12.903900, 14.249700",False
-434776.22222222225,1546,0,12,4,3,25346.2203,"0.002252, 12.903900, 14.249700",False
-434370.77777777775,64,0,12,4,3,849.3235,"0.002252, 12.903900, 14.249700",False
-433581.19444444444,1058,0,12,4,3,16187.3836,"0.002252, 12.903900, 14.249700",False
-429326.47222222225,1262,0,12,4,3,19885.6058,"0.002252, 12.903900, 14.249700",False
-427991.30555555556,1829,0,12,4,3,31148.9655,"0.002252, 12.903900, 14.249700",False
-425616.75,410,0,12,4,3,5683.4099,"0.002252, 12.903900, 14.249700",False
-423877.3888888889,1808,0,12,4,3,30705.9826,"0.002252, 12.903900, 14.249700",False
-422533.4166666667,302,0,12,4,3,4116.6189,"0.002252, 12.903900, 14.249700",False
-419225.25,53,0,12,4,3,704.4823,"0.002252, 12.903900, 14.249700",False
-418550.1111111111,216,0,12,4,3,2906.5614,"0.002252, 12.903900, 14.249700",False
-415892.5,102,0,12,4,3,1353.8773,"0.002252, 12.903900, 14.249700",False
-415115.19444444444,122,0,12,4,3,1622.0443,"0.002252, 12.903900, 14.249700",False
-413729.1666666667,2073,0,12,4,3,36441.6193,"0.002252, 12.903900, 14.249700",False
-412342.8611111111,1945,0,12,4,3,33631.7075,"0.002252, 12.903900, 14.249700",False
-411660.0,1884,0,12,4,3,32318.5722,"0.002252, 12.903900, 14.249700",False
-411174.02777777775,215,0,12,4,3,2892.6869,"0.002252, 12.903900, 14.249700",False
-398558.52777777775,41,0,12,4,3,547.0952,"0.002252, 12.903900, 14.249700",False
-396756.22222222225,35,0,12,4,3,468.6449,"0.002252, 12.903900, 14.249700",False
-394277.27777777775,971,0,12,4,3,14667.2145,"0.002252, 12.903900, 14.249700",False
-393337.75,60,0,12,4,3,796.5909,"0.002252, 12.903900, 14.249700",False
-392628.05555555556,1947,0,12,4,3,33675.0449,"0.002252, 12.903900, 14.249700",False
