tus,erg,dau,det,a,b,c,keV
-953682.3333333334,32,1,1,0.005245,8.4154,64.54628,339.20996
-953682.2777777778,815,3,2,-0.005435,28.0135,-20.6767,19200.262925
-953610.3055555555,57,1,2,-0.002817,22.3117,-7.48475,1255.1297169999998
-953141.9166666666,35,3,1,-0.002714,23.1905,0.891068,809.233918
-953060.0555555555,200,2,2,0.004184,11.7314,29.3111,2542.9511
-952776.9166666666,20,3,1,-0.002714,23.1905,0.891068,463.615468
-952642.0277777778,1783,4,3,0.002252,12.9039,14.2497,30181.211828
-952641.75,31,2,3,0.004798,9.72422,47.9505,354.012198
-952315.2777777778,81,2,3,0.004798,9.72422,47.9505,867.0919980000001
-952315.25,76,2,2,0.004184,11.7314,29.3111,945.064284
-951925.2222222222,147,1,3,0.002895,10.5845,33.544,1652.023555
-951748.0555555555,41,4,2,0.001654,16.4206,-43.19642,632.828554
-951748.0555555555,112,1,2,-0.002817,22.3117,-7.48475,2456.0892019999997
-951748.0555555555,23,3,1,-0.002714,23.1905,0.891068,532.836862
-951748.0277777778,43,2,1,0.006566,6.6033,84.98722,381.06965399999996
-951748.0277777778,110,2,2,0.004184,11.7314,29.3111,1370.3915000000002
-951748.0277777778,81,3,2,-0.005435,28.0135,-20.6767,2212.757765
-951748.0277777778,564,4,3,0.002252,12.9039,14.2497,8008.401492000001
-951748.0,606,1,3,0.002895,10.5845,33.544,7510.89922
-951748.0,51,1,1,0.005245,8.4154,64.54628,507.373925
-951747.9166666666,36,4,1,0.00306,12.1257,37.1393,477.63025999999996
-951309.9166666666,19,3,2,-0.005435,28.0135,-20.6767,509.61776499999996
-950728.2222222222,1711,3,3,-0.003606,24.6944,-0.866357,31694.611317000003
-950728.0833333334,186,1,1,0.005245,8.4154,64.54628,1811.2667000000001
-950728.0277777778,34,1,3,0.002895,10.5845,33.544,396.76361999999995
-950380.0555555555,2041,1,3,0.002895,10.5845,33.544,33696.154995000004
-950380.0555555555,1754,3,1,-0.002714,23.1905,0.891068,32327.363644000005
-950380.0277777778,1800,4,3,0.002252,12.9039,14.2497,30537.7497
-950380.0277777778,1606,3,2,-0.005435,28.0135,-20.6767,30950.856640000005
-950379.9444444445,56,2,1,0.006566,6.6033,84.98722,475.362996
-950379.8611111111,130,1,2,-0.002817,22.3117,-7.48475,2845.4289499999995
-950331.0,32,1,3,0.002895,10.5845,33.544,375.21247999999997
-950152.0,1803,2,3,0.004798,9.72422,47.9505,33178.100742
-950151.8888888889,1273,4,2,0.001654,16.4206,-43.19642,23540.582346
-949461.4166666666,1652,4,2,0.001654,16.4206,-43.19642,31597.572796
-949318.4166666666,24,3,1,-0.002714,23.1905,0.891068,555.899804
-949318.3611111111,1552,3,3,-0.003606,24.6944,-0.866357,29639.055819
-949318.3333333334,1749,4,3,0.002252,12.9039,14.2497,29472.041052
-949318.3333333334,1381,3,2,-0.005435,28.0135,-20.6767,28300.546765
-949159.5,45,1,1,0.005245,8.4154,64.54628,453.860405
-949126.8333333334,2323,1,3,0.002895,10.5845,33.544,40243.709955000006
-949126.8333333334,1684,3,1,-0.002714,23.1905,0.891068,31357.179884000005
-949126.8333333334,1913,4,3,0.002252,12.9039,14.2497,32940.759788
-949126.8333333334,2060,1,2,-0.002817,22.3117,-7.48475,34000.396049999996
-949126.8333333334,1712,3,2,-0.005435,28.0135,-20.6767,32008.754660000002
-949126.8333333334,1695,3,3,-0.003606,24.6944,-0.866357,31496.013493000006
-949126.8055555555,1856,2,1,0.006566,6.6033,84.98722,34958.848596
-949126.6666666666,127,4,2,0.001654,16.4206,-43.19642,2068.897146
-949126.6666666666,666,1,1,0.005245,8.4154,64.54628,7995.653899999999
-949126.6388888889,184,2,3,0.004798,9.72422,47.9505,1999.6480680000002
-949126.6388888889,1126,2,2,0.004184,11.7314,29.3111,18543.660684000002
-949002.3611111111,61,3,1,-0.002714,23.1905,0.891068,1405.412774
-948395.5,33,4,2,0.001654,16.4206,-43.19642,500.48458600000004
-948052.4444444445,1769,2,3,0.004798,9.72422,47.9505,32264.769758
-947949.6666666666,1351,4,2,0.001654,16.4206,-43.19642,25159.916633999997
-947949.6111111111,68,2,3,0.004798,9.72422,47.9505,731.3834120000001
-947949.5555555555,39,2,2,0.004184,11.7314,29.3111,493.199564
-947915.6944444445,1609,3,2,-0.005435,28.0135,-20.6767,30982.476565
-947915.6388888889,1444,3,1,-0.002714,23.1905,0.891068,27828.913964000003
-947915.5555555555,76,4,1,0.00306,12.1257,37.1393,976.3670600000002
-947915.5555555555,130,4,2,0.001654,16.4206,-43.19642,2119.4341799999997
-947915.5277777778,29,3,3,-0.003606,24.6944,-0.866357,712.238597
-947915.5277777778,432,4,3,0.002252,12.9039,14.2497,6009.011748000001
-947915.5,31,1,1,0.005245,8.4154,64.54628,330.46412499999997
-947797.1111111111,174,1,3,0.002895,10.5845,33.544,1962.8960200000001
-947534.1111111111,27,3,2,-0.005435,28.0135,-20.6767,731.725685
-947260.5,55,2,1,0.006566,6.6033,84.98722,468.03086999999994
-947260.4444444445,33,1,3,0.002895,10.5845,33.544,385.98515499999996
-947023.2222222222,371,4,1,0.00306,12.1257,37.1393,4956.955459999999
-947013.1111111111,1756,2,3,0.004798,9.72422,47.9505,31918.486548
-946934.9166666666,31,3,1,-0.002714,23.1905,0.891068,717.188414
-946670.5277777778,98,2,1,0.006566,6.6033,84.98722,795.1704839999999
-946532.1388888889,859,3,3,-0.003606,24.6944,-0.866357,18550.824357
-946031.7222222222,1749,1,2,-0.002817,22.3117,-7.48475,30398.472733
-946031.5555555555,1165,1,3,0.002895,10.5845,33.544,16293.652875000002
-945646.6111111111,36,2,2,0.004184,11.7314,29.3111,457.06396400000006
-945358.8055555555,75,1,2,-0.002817,22.3117,-7.48475,1650.0471249999998
