tus,dau,det,typ,erg
-59824,1,2,0,37
-59722,3,2,0,48
-59600,3,2,0,312
-59122,2,1,0,16
-58958,0,0,0,125
-58635,3,0,0,1620
-58573,1,0,0,62
-58553,1,0,0,552
-58497,1,2,0,198
-58333,2,2,0,25
-58265,0,0,0,309
-58056,3,2,0,44
-57427,1,1,0,64
-57415,0,2,0,31
-57415,2,0,0,48
-57415,3,1,0,44
-57415,3,2,0,96
-57402,0,2,0,43
-57402,2,2,0,81
-57274,3,1,0,36
-57230,1,2,0,1489
-57155,2,0,0,658
-57154,3,0,0,51
-56872,0,0,0,1428
-56872,1,0,0,34
-56872,2,2,0,84
-56872,0,1,0,22
-56872,0,2,0,1273
-56870,1,1,0,140
-56210,3,1,0,160
-56210,3,2,0,38
-56187,3,1,0,37
-56026,0,2,0,248
-56026,1,1,0,1359
-55950,1,0,0,43
-55826,3,1,0,161
-55699,3,0,0,1480
-55648,2,1,0,22
-55432,0,1,0,28
-55407,1,1,0,1609
-55407,1,2,0,1749
-55368,3,1,0,1626
-55312,1,1,0,1538
-55312,1,2,0,1772
-54570,2,0,0,52
-54554,1,2,0,58
-54424,0,1,0,1839
-54424,1,0,0,1844
-54424,2,1,0,93
-54424,3,1,0,57
-54424,0,2,0,2165
-54424,1,1,0,1550
-54424,0,0,0,1308
-54424,3,0,0,178
-54423,3,2,0,156
-54423,1,2,0,135
-54386,2,0,0,21
-54069,0,0,0,23
-54054,3,2,0,1822
-54044,0,1,0,289
-53588,2,2,0,1025
-53492,0,1,0,1829
-53492,0,0,0,1556
-53401,0,2,0,1898
-53401,1,0,0,96
-53355,1,2,0,38
-53303,3,1,0,43
-53200,2,2,0,16
-53136,1,1,0,525
-53136,1,0,0,36
-52698,2,2,0,21
-52538,3,1,0,109
-52456,2,1,0,23
-52424,0,0,0,47
-52300,3,0,0,118
-52011,2,0,0,26
-51643,0,2,0,22
-51478,1,1,0,1699
-51461,2,2,0,636
-51160,2,0,0,16
-50870,0,0,0,1731
-50765,1,0,0,63
-50512,3,2,0,1772
-50357,3,1,0,43
-50357,3,0,0,202
-50263,1,0,0,243
-50177,0,1,0,1770
-50141,0,1,0,1701
-50077,3,1,0,111
-49871,1,1,0,54
-49455,2,0,0,440
-49455,3,2,0,101
-49325,2,0,0,1029
-49325,2,1,0,172
-49187,0,2,0,1954
-49187,1,0,0,1757
-49187,3,1,0,1701
-49187,2,0,0,94
-49187,3,0,0,1767
-49187,0,0,0,1841
-49187,1,1,0,815
-49187,0,1,0,1883
-49174,2,2,0,413
-49109,0,2,0,87
-48845,3,2,0,1713
-48845,2,1,0,26
-48845,2,0,0,356
-48845,3,1,0,1349
-48725,3,2,0,153
-48434,2,2,0,111
-48303,0,1,0,60
-48139,0,1,0,1756
-48139,0,2,0,50
-48138,2,0,0,1681
-48138,3,2,0,60
-48138,2,1,0,1610
-47776,2,0,0,1633
-47702,0,0,0,48
-47702,1,0,0,769
-47702,1,1,0,50
-47565,1,0,0,140
-47193,2,0,0,142
-47125,0,0,0,35
-47048,0,1,0,113
-47011,0,2,0,1959
-46894,0,1,0,1806
-46894,0,0,0,292
-46769,2,1,0,1672
-46769,2,2,0,1663
-46734,1,0,0,67
-46734,2,1,0,1565
-46463,1,2,0,1730
-46369,0,2,0,37
-46148,1,2,0,158
-45957,2,2,0,1723
-45957,0,0,0,121
-45957,2,1,0,43
-45887,1,0,0,1808
-45887,3,2,0,1856
-45790,0,2,0,1973
-45790,2,0,0,813
-45790,2,1,0,78
-45782,3,0,0,908
-45414,0,2,0,49
-45340,3,0,0,1830
-45232,2,2,0,1659
-45232,3,0,0,113
-45155,0,0,0,1704
-45121,3,1,0,707
-45121,3,2,0,958
-44985,2,2,0,23
-44972,1,2,0,43
-44943,0,0,0,1607
-44825,3,1,0,1648
-44778,1,1,0,1661
-44745,2,2,0,1783
-44745,3,2,0,981
-44745,2,1,0,229
-44745,2,0,0,18
-44578,3,1,0,66
-44577,3,2,0,188
-44439,0,1,0,22
-44362,3,0,0,168
-44360,2,0,0,79
-44334,0,2,0,968
-44216,0,0,0,1063
-43685,0,0,0,513
-43580,1,2,0,31
-43568,3,0,0,1752
-43568,3,1,0,205
-43262,0,0,0,1815
-43255,1,0,0,68
-43125,0,0,0,48
-42929,1,1,0,163
-42799,3,1,0,42
-42587,3,2,0,44
-42411,0,1,0,31
-42392,3,2,0,35
-42236,0,0,0,75
