tus,dau,det,typ,erg
-10312,1,2,0,1417
-10312,3,0,0,140
-10312,1,0,0,59
-9908,0,1,0,84
-9908,2,1,0,21
-9908,3,2,0,74
-9908,2,0,0,42
-9908,0,2,0,22
-9786,0,0,0,544
-9714,2,1,0,18
-9327,0,0,0,53
-9327,1,0,0,923
-9124,2,1,0,40
-9064,1,2,0,107
-8215,2,1,0,528
-8215,2,0,0,799
-8188,0,0,0,96
-8048,0,0,0,80
-7198,3,1,0,1602
-7198,1,2,0,272
-7198,2,2,0,33
-7198,3,2,0,163
-7198,3,0,0,1344
-6986,0,2,0,114
-6986,2,0,0,39
-6665,2,1,0,224
-6665,2,0,0,19
-6555,2,2,0,1534
-5818,0,0,0,25
-5702,1,2,0,333
-5702,3,2,0,538
-5702,1,0,0,833
-5702,1,1,0,72
-5629,1,2,0,47
-4966,1,0,0,50
-4930,0,2,0,120
-4332,3,0,0,32
-3835,0,1,0,51
-3835,0,2,0,27
-3397,0,0,0,28
-3397,2,1,0,20
-3283,0,2,0,33
-3097,1,0,0,204
-3097,3,1,0,1614
-3097,1,1,0,570
-2409,0,1,0,78
-1360,1,2,0,62
-1174,1,0,0,46
-765,2,2,0,19
-428,0,1,0,113
-159,1,0,0,96
-58,0,0,0,548
458,3,2,0,646
935,2,1,0,1515
1674,1,0,0,228
2159,1,1,0,43
2930,3,1,0,411
3557,3,2,0,124
3602,1,0,0,1644
3603,1,2,0,67
3638,0,0,0,143
3638,0,1,0,29
3770,3,1,0,39
5326,3,1,0,39
5478,3,1,0,159
5478,3,2,0,124
5578,3,1,0,52
5882,0,2,0,38
5882,3,2,0,85
5882,3,0,0,35
6321,1,0,0,1635
6526,2,0,0,39
6526,2,1,0,47
6526,2,2,0,49
6672,1,1,0,36
7993,2,2,0,20
7993,3,2,0,223
8028,3,1,0,174
8028,1,2,0,90
8028,3,0,0,63
8028,1,0,0,343
8053,2,0,0,19
8373,1,2,0,56
8373,1,0,0,63
8724,1,1,0,114
8800,2,1,0,21
9027,0,2,0,51
9027,1,0,0,52
9261,0,2,0,178
9261,1,0,0,394
9261,2,0,0,25
9261,1,1,0,644
9909,2,2,0,16
10190,1,1,0,32
10244,0,0,0,35
10694,0,2,0,47
11693,2,0,0,197
12089,1,2,0,1760
12089,3,1,0,35
12089,2,1,0,18
12089,1,0,0,135
12455,3,0,0,157
12455,1,1,0,38
12457,2,1,0,50
12812,3,2,0,233
12812,0,0,0,216
12812,0,2,0,67
13006,3,0,0,100
13006,1,1,0,471
13232,3,1,0,97
13806,3,0,0,1765
13812,0,2,0,40
13870,1,1,0,59
13870,0,2,0,37
13870,1,2,0,33
14090,0,1,0,161
14605,0,1,0,24
14755,3,2,0,39
14755,3,0,0,43
14781,1,0,0,42
15569,3,1,0,85
15835,0,1,0,1387
15835,0,2,0,461
15925,2,0,0,20
16457,1,0,0,1767
16457,1,1,0,1491
16673,1,2,0,38
16873,0,2,0,1818
16873,0,1,0,712
17295,2,2,0,331
17399,3,1,0,1000
17527,3,2,0,114
17527,3,1,0,107
17650,0,2,0,25
17650,1,0,0,1613
17862,3,1,0,1878
17862,3,0,0,1809
17863,1,2,0,93
17863,1,0,0,97
17863,3,2,0,778
17880,0,2,0,1817
17880,0,0,0,40
17880,0,1,0,118
17881,1,0,0,31
18013,3,0,0,78
