tus,dau,det,typ,erg
-877380,2,2,0,1455
-876632,0,2,0,27
-876590,0,2,0,1866
-876590,1,1,0,1569
-876590,2,1,0,1591
-876590,3,2,0,1806
-876590,0,0,0,276
-876590,1,0,0,1646
-876590,2,2,0,118
-876590,3,1,0,39
-876590,2,0,0,98
-876568,0,0,0,1248
-876403,1,1,0,59
-875484,0,0,0,1910
-875408,0,2,0,49
-875347,0,1,0,42
-875347,0,2,0,619
-875347,0,0,0,30
-874925,1,0,0,84
-874501,2,1,0,32
-874501,3,0,0,38
-874352,0,0,0,68
-874334,2,1,0,21
-873729,3,1,0,1714
-873729,0,2,0,29
-873281,1,2,0,1685
-873229,2,0,0,18
-873068,0,0,0,41
-873004,2,1,0,300
-872844,3,0,0,34
-872844,3,1,0,42
-872696,1,2,0,550
-872683,1,1,0,75
-872683,1,0,0,102
-872359,0,0,0,59
-872335,0,0,0,44
-872335,2,2,0,616
-872043,3,0,0,31
-872040,2,0,0,1697
-872040,0,1,0,1350
-872040,1,0,0,131
-872040,0,2,0,117
-872040,2,1,0,1826
-872040,2,2,0,1682
-872040,0,0,0,786
-871996,3,0,0,1563
-870911,0,0,0,34
-870907,1,1,0,45
-870234,0,0,0,1768
-870234,0,1,0,1494
-870195,1,2,0,37
-870169,1,2,0,157
-870117,0,2,0,175
-869905,1,1,0,33
-869905,1,2,0,91
-869759,1,2,0,81
-869603,3,0,0,196
-869538,2,2,0,1328
-869065,0,1,0,1713
-868735,2,1,0,85
-868735,0,0,0,40
-868553,2,1,0,84
-868485,0,0,0,56
-868485,1,2,0,323
-868303,0,0,0,138
-868303,1,0,0,58
-868303,0,1,0,21
-868180,3,1,0,1643
-868180,3,2,0,1818
-867263,3,0,0,157
-867238,0,2,0,1993
-867238,1,0,0,1571
-867238,3,1,0,1631
-867238,0,1,0,196
-867238,1,2,0,36
-867238,0,0,0,26
-867148,1,2,0,427
-866950,1,1,0,1360
-866853,3,2,0,34
-866759,1,1,0,45
-866748,3,2,0,113
-865853,3,1,0,76
-865479,3,0,0,41
-865400,0,1,0,34
-865400,1,0,0,67
-865400,0,2,0,281
-865400,1,1,0,55
-865400,0,0,0,54
-865400,1,2,0,39
-865361,3,2,0,89
-865345,2,1,0,280
-865227,1,0,0,36
-865188,2,1,0,86
-865188,3,2,0,73
-865188,2,0,0,18
-864371,3,1,0,821
-864084,2,1,0,17
-863986,2,2,0,79
-863726,1,2,0,177
-862815,3,1,0,192
-862657,1,2,0,105
-862530,2,2,0,31
-862517,2,0,0,16
-862202,3,2,0,36
-862202,3,0,0,33
-862182,0,2,0,1978
-862095,1,2,0,117
-862057,0,0,0,1548
-862057,3,2,0,53
-862057,0,2,0,1417
-862057,3,1,0,201
-861844,0,0,0,189
-861844,3,1,0,399
-861706,0,0,0,1820
-861706,2,2,0,17
-861706,0,1,0,219
-861428,2,2,0,48
-861396,0,0,0,1495
-860917,1,2,0,41
-860755,1,1,0,85
-860605,1,1,0,61
-860547,1,0,0,1699
-860359,0,0,0,39
-860184,3,1,0,42
-860084,2,0,0,31
-859857,0,2,0,21
-859635,1,0,0,1727
-859237,2,1,0,29
-859115,1,0,0,1301
-858743,0,0,0,1758
-858598,1,2,0,142
-858598,1,1,0,393
-858305,1,1,0,65
-858238,2,0,0,72
-858169,3,0,0,87
-858112,2,1,0,117
-857875,2,1,0,1635
-857874,2,0,0,1052
-857498,0,0,0,159
-857229,2,1,0,27
-856457,0,0,0,42
-856422,3,1,0,1727
-856421,3,2,0,899
-855751,1,0,0,1656
-855590,0,1,0,95
-855518,0,1,0,1726
-855518,1,0,0,1663
-855518,2,1,0,116
-855518,3,2,0,1977
-855518,1,1,0,1419
-855518,3,1,0,777
-855518,2,0,0,29
-855518,1,2,0,109
-855515,0,0,0,1567
-855454,3,1,0,44
-855287,3,1,0,1784
-855287,2,2,0,1533
-855287,2,1,0,40
-854970,3,1,0,800
-854970,3,0,0,332
-854883,2,2,0,94
-853958,2,0,0,112
-853955,1,1,0,262
-853375,1,2,0,223
-853193,3,2,0,58
-853172,0,1,0,55
-853172,0,2,0,42
-853151,1,2,0,1817
-853103,1,0,0,60
-853103,2,0,0,69
-853103,3,2,0,376
-853103,3,0,0,78
-852820,0,0,0,1792
-852777,1,0,0,148
-852432,0,1,0,1683
-852432,1,0,0,1669
-852432,2,1,0,191
-852432,0,2,0,756
-852432,2,0,0,16
-852431,0,0,0,1680
-852348,0,0,0,26
-852173,0,2,0,1667
-852173,1,0,0,935
-852173,0,0,0,105
-851789,2,2,0,1686
-851749,2,0,0,18
-850649,1,0,0,113
-850606,1,2,0,1722
-850606,1,0,0,133
-850606,1,1,0,1576
-850594,2,0,0,48
-850196,0,1,0,719
-849947,3,2,0,46
-849878,1,1,0,46
-849878,1,2,0,111
-849471,1,0,0,66
-849382,2,2,0,67
-848829,3,0,0,1639
-848784,2,0,0,30
-848707,0,0,0,1126
-848519,1,2,0,180
-847715,0,2,0,29
-847482,2,0,0,39
-846774,2,0,0,103
-846774,3,0,0,31
-845544,3,2,0,41
-845415,2,1,0,17
-845415,2,0,0,18
-845171,3,1,0,126
-844790,0,2,0,27
-844787,1,1,0,39
-844740,0,2,0,44
-844529,0,2,0,1806
-843953,0,1,0,201
-843183,0,0,0,50
-843063,0,0,0,208
-843063,3,0,0,52
-842912,3,1,0,1662
-842912,0,2,0,21
-842912,1,2,0,243
-842912,3,0,0,1450
-842912,3,2,0,620
-842370,0,1,0,159
-842199,2,2,0,31
-842178,3,1,0,36
-842034,0,2,0,209
-841718,0,0,0,1764
-841718,1,0,0,38
-841718,2,1,0,26
-841718,0,1,0,1681
-841616,3,2,0,32
-841558,2,1,0,60
-841558,3,2,0,1522
-841558,3,1,0,32
-841391,0,2,0,86
-841247,1,2,0,1289
-841247,1,1,0,439
-841088,1,2,0,204
-840009,1,0,0,1795
-839847,2,2,0,56
-839725,1,0,0,106
-839523,1,0,0,393
-839523,2,0,0,658
-839406,2,1,0,21
-839406,3,1,0,54
-839191,0,2,0,89
-839191,1,0,0,260
-839113,0,2,0,2144
-839113,1,1,0,34
-839113,2,0,0,122
-839113,3,2,0,109
-839113,0,1,0,1224
-838913,0,0,0,238
-838866,2,0,0,1693
-838866,3,2,0,83
-838299,1,2,0,1753
-838049,2,1,0,71
-837786,2,2,0,357
-837767,0,0,0,62
-837713,1,2,0,60
-837585,0,0,0,192
-837324,3,1,0,35
-837079,3,0,0,41
-836991,0,0,0,90
-836970,3,1,0,325
-836621,2,1,0,24
-836184,0,0,0,269
-836184,1,0,0,1410
-836184,2,0,0,126
-836184,1,1,0,990
-836184,0,1,0,88
-836184,0,2,0,64
-836060,0,2,0,39
-835985,2,0,0,1664
-835984,3,2,0,84
-835984,2,1,0,27
-835851,2,1,0,1542
-835851,2,2,0,17
-835799,3,1,0,1517
-834760,0,1,0,45
-834663,3,0,0,45
-834267,0,0,0,42
-834267,2,2,0,103
-834178,1,0,0,1021
-834078,0,0,0,1718
-833696,1,0,0,183
-833590,3,0,0,44
-833506,2,0,0,45
-832955,2,2,0,16
-832955,2,1,0,16
-832942,1,0,0,86
-832671,1,1,0,1182
-832671,1,2,0,529
-832349,3,2,0,1761
-832267,1,0,0,75
-831746,2,2,0,89
-831722,2,0,0,107
-831658,1,0,0,306
-831519,2,1,0,88
-831041,2,1,0,34
-830948,3,2,0,1879
-830644,0,0,0,53
-830570,0,0,0,443
-830538,1,0,0,50
-830090,0,2,0,110
-830038,3,2,0,147
-829339,2,2,0,76
-829195,2,2,0,1317
-829071,2,1,0,34
-829071,2,2,0,111
-828895,1,2,0,422
-828787,0,0,0,24
-828572,0,1,0,167
-828421,0,0,0,57
-828339,0,0,0,32
-828281,3,0,0,34
-828098,0,0,0,99
-827830,2,1,0,19
-827184,3,1,0,81
-827073,2,1,0,1499
-826860,1,1,0,99
-826860,3,2,0,32
-826354,2,0,0,76
-826124,2,0,0,18
-826071,1,0,0,45
-826071,2,2,0,19
-825979,2,1,0,17
-825816,1,1,0,66
-825816,2,0,0,22
-825704,3,1,0,93
-825615,1,2,0,100
-825495,0,2,0,52
-825495,1,0,0,93
-825334,2,0,0,87
-825233,1,0,0,1678
-825177,0,1,0,57
-825174,0,0,0,1674
-824989,2,2,0,22
-824878,1,0,0,1659
-824717,2,0,0,240
-824460,0,2,0,1706
-824334,0,1,0,136
-824334,1,1,0,87
-824334,0,0,0,76
-824153,3,1,0,34
-824090,0,0,0,60
-823824,2,1,0,246
-823569,1,1,0,1594
-823275,1,0,0,57
-823142,1,0,0,76
-823058,2,1,0,197
-823058,2,0,0,57
-822983,1,2,0,120
-822726,3,1,0,111
-822664,1,2,0,32
-822496,2,1,0,1610
-822414,2,0,0,18
-821534,1,1,0,1705
-821534,1,0,0,246
-820790,0,0,0,39
-820789,2,2,0,17
-820119,2,2,0,63
-820117,0,0,0,59
-820117,0,1,0,82
-819787,3,0,0,53
-819762,2,2,0,1564
-819762,3,1,0,64
-819762,0,0,0,1085
-819762,1,2,0,242
-819762,2,1,0,331
-819544,2,2,0,19
-819014,3,0,0,383
-818884,0,2,0,1770
-818884,0,0,0,1762
-818884,0,1,0,309
-818867,2,1,0,60
-818805,0,2,0,134
-818690,1,0,0,1619
-818619,0,1,0,125
-818619,1,1,0,238
-818619,2,0,0,274
-818619,3,0,0,139
-818498,1,2,0,112
-818293,0,0,0,104
-818293,1,0,0,1663
-818293,1,2,0,108
-818293,0,1,0,30
-818132,2,0,0,40
-818039,2,2,0,68
-817874,2,0,0,131
-817659,1,0,0,774
-817265,0,0,0,194
-816972,0,1,0,34
-816972,1,0,0,48
-816972,0,2,0,231
-816543,0,0,0,1336
-816345,3,1,0,32
-816345,0,0,0,320
-816201,2,2,0,1611
-816187,0,2,0,172
-816137,0,2,0,1851
-816137,1,0,0,34
-816137,0,1,0,35
-814868,0,1,0,1747
-814868,1,0,0,1699
-814868,2,1,0,18
-814868,3,2,0,429
-814868,0,2,0,43
-814868,0,0,0,1744
-814376,3,1,0,60
-814376,3,0,0,38
-814102,2,1,0,46
-814102,3,1,0,1634
-814102,3,0,0,383
-814102,2,2,0,23
-814102,3,0,1,1187
-814102,3,0,3,315
-814075,1,0,0,37
-813966,3,0,0,254
-813049,0,2,0,34
-813018,0,1,0,465
-812621,2,2,0,20
-812153,1,2,0,44
-812153,2,2,0,1210
-812153,3,2,0,334
-812153,2,0,0,60
-811770,2,1,0,1224
-811770,2,2,0,414
-811684,0,0,0,1717
-811389,1,1,0,1600
-811389,1,2,0,948
-810851,1,0,0,331
-810787,1,0,0,226
-810787,2,1,0,1698
-810787,0,1,0,23
-810787,2,2,0,1708
-810787,0,2,0,142
-810787,2,0,0,175
-810612,1,2,0,64
-810517,1,2,0,56
-810517,3,1,0,34
-810279,1,0,0,38
-809668,2,1,0,50
-809668,2,2,0,599
-809596,2,1,0,182
-809580,0,2,0,1987
-809580,1,0,0,1795
-809580,2,2,0,200
-809580,0,0,0,1813
-809580,1,1,0,35
-809580,2,0,0,159
-809580,0,1,0,1684
-809580,2,1,0,726
-809145,0,2,0,368
-809142,1,0,0,59
-808832,2,0,0,16
-808582,1,0,0,39
-808310,0,1,0,1817
-808310,0,2,0,1989
-808309,1,0,0,84
-808309,0,0,0,116
-807934,1,0,0,56
-807786,0,1,0,22
-807721,3,1,0,1631
-807721,1,1,0,1493
-807189,0,2,0,21
-807189,1,0,0,71
-806869,2,1,0,238
-806673,0,2,0,41
-805777,3,2,0,35
-805612,0,0,0,1754
-805316,3,0,0,78
-804840,0,0,0,1545
-804750,1,2,0,2009
-804749,0,1,0,53
-804749,3,0,0,79
-804749,1,1,0,158
-804749,3,1,0,1219
-804737,0,1,0,78
-803710,3,2,0,104
-803252,3,0,0,72
-802325,1,2,0,130
-801601,3,0,0,1719
-801403,1,1,0,96
-801073,2,2,0,61
-800823,2,1,0,229
-800759,2,2,0,665
-800471,0,2,0,1804
-800260,3,2,0,164
-800239,1,2,0,99
-800128,1,0,0,88
-800081,1,2,0,675
-800008,1,2,0,45
-799781,1,0,0,55
-799664,0,2,0,38
-799492,1,2,0,1773
-799492,2,2,0,22
-799492,3,0,0,221
-799492,1,0,0,44
-799468,3,2,0,73
-799314,3,2,0,58
-799243,2,2,0,32
-799242,0,1,0,486
-799190,0,0,0,127
-798858,2,2,0,16
-798604,3,2,0,36
-798548,2,0,0,65
-798353,0,2,0,30
-798247,2,0,0,1655
-798247,3,2,0,1932
-798247,0,0,0,24
-798247,1,0,0,38
-798247,2,1,0,862
-798219,2,2,0,1363
-798219,3,2,0,200
-798219,2,0,0,180
-798219,2,1,0,23
-798137,0,0,0,32
-797950,0,2,0,250
-797930,2,2,0,1654
-797897,2,1,0,1165
-797897,2,0,0,153
-797627,1,0,0,146
-797601,2,1,0,17
-797507,2,1,0,17
-797167,0,2,0,43
-796694,2,2,0,43
-796687,1,0,0,39
-796595,1,0,0,198
-796332,3,0,0,1696
-796332,3,1,0,52
-796153,2,2,0,1743
-796153,0,0,0,1297
-796153,2,1,0,59
-795975,1,2,0,1800
-795975,0,0,0,41
-795975,2,1,0,157
-795975,0,1,0,657
-795975,1,0,0,1544
-795975,2,2,0,414
-795975,0,2,0,349
-795975,1,1,0,1708
-795829,3,0,0,1143
-795455,2,1,0,1808
-795455,0,0,0,1910
-795455,3,2,0,89
-795455,0,1,0,1943
-795455,2,2,0,1935
-795455,0,2,0,624
-795455,2,0,0,1438
-795454,2,2,3,81
-795453,2,2,1,104
-795453,2,1,3,65
-795452,2,1,1,123
-795452,2,2,1,133
-795452,2,2,3,84
-794947,3,0,0,190
-794938,0,1,0,64
-794780,2,0,0,20
-794780,0,2,0,21
-794578,0,0,0,33
-794276,0,0,0,107
-794113,3,0,0,1696
-793815,0,0,0,57
-793815,2,2,0,21
-793815,0,2,0,33
-793773,1,2,0,1664
-793773,3,0,0,82
-792629,0,1,0,22
-792629,2,1,0,183
-792512,3,0,0,63
-792512,3,2,0,163
-792430,2,0,0,29
-791521,1,2,0,31
-791117,0,1,0,24
-790438,0,0,0,47
-790344,3,1,0,1721
-790344,1,1,0,1557
-790344,3,2,0,1918
-790344,1,0,0,1417
-790344,3,0,0,62
-790092,2,0,0,45
-789666,2,1,0,830
-789666,2,2,0,893
-789585,0,1,0,45
-789425,1,1,0,50
-789425,3,2,0,234
-789360,0,0,0,490
-789106,0,0,0,790
-788497,0,2,0,28
-788497,1,0,0,176
-788497,3,0,0,768
-787773,0,1,0,1627
-787773,0,0,0,1493
-787683,2,2,0,21
-787656,0,2,0,291
-787515,2,1,0,23
-787468,0,0,0,84
-787414,0,1,0,74
-787413,0,2,0,92
-787394,0,2,0,1836
-787394,0,1,0,668
-787079,1,2,0,78
-786980,1,2,0,163
-786842,0,0,0,56
-786842,2,1,0,22
-786842,3,2,0,250
-786842,0,1,0,773
-786365,1,1,0,1622
-786360,0,0,0,1701
-786140,0,2,0,1995
-786140,1,2,0,1880
-786140,1,1,0,461
-786078,1,0,0,180
-786078,2,0,0,41
-786078,1,1,0,117
-785962,2,1,0,20
-785951,2,0,0,1467
-785888,2,0,0,162
-785888,0,2,0,1056
-785804,3,0,0,90
-785804,1,1,0,34
-785416,1,1,0,34
-785388,1,0,0,47
