       Ti        Tf      G1      G2      G3
    2.672     2.688   20.10    7.01    1.00
    2.688     2.704   18.07    5.01    0.00
    2.704     2.720   26.19   10.04    5.01
    2.720     2.736   19.11   12.04    1.00
    2.736     2.752   25.15    8.02    2.00
    2.752     2.768   17.08    7.02    2.00
    2.768     2.784   18.09    7.02    3.00
    2.784     2.800   19.11   10.03    3.00
    2.800     2.816   16.06    4.01    3.00
    2.816     2.832   33.76    6.02    4.01
    2.832     2.848   14.05    4.01    2.00
    2.848     2.864   25.13    3.00    2.00
    2.864     2.880   18.09    9.02    0.00
    2.880     2.896   18.08    5.01    3.00
    2.896     2.912   14.05    5.01    0.00
    2.912     2.928   20.10    7.01    1.00
    2.928     2.944   16.06    3.00    1.00
    2.944     2.960   17.07    5.01    3.00
    2.960     2.976   18.07    2.00    1.00
    2.976     2.992   19.10    6.02    5.01
    2.992     3.008   16.08    8.03    5.01
    3.008     3.024   18.09    8.02    4.01
    3.024     3.040   13.06   10.03    2.00
    3.040     3.056   18.08    5.01    2.00
    3.056     3.072   14.05    4.01    2.00
    3.072     3.088   20.12   10.03    3.00
    3.088     3.104   17.09    9.03    3.00
    3.104     3.120   17.08   10.03    1.00
    3.120     3.136   18.10    9.03    4.01
    3.136     3.152   18.08    6.01    1.00
    3.152     3.168   16.07    6.01    3.00
    3.168     3.184   23.14    8.02    4.01
    3.184     3.200   22.16   11.06    9.03
    3.200     3.216   13.06   12.04    1.00
    3.216     3.232   13.07    9.04    8.02
    3.232     3.248   19.11   10.04    4.01
    3.248     3.264   16.08    8.02    4.01
    3.264     3.280   14.06    6.01    3.00
    3.280     3.296   24.13    6.01    1.00
    3.296     3.312   16.07    6.01    3.00
    3.312     3.328   13.04    3.00    3.00
    3.328     3.344   21.12    8.02    3.00
    3.344     3.360   21.11    6.01    3.00
    3.360     3.376   27.16    7.01    0.00
    3.376     3.392   21.10    2.00    3.00
    3.392     3.408   19.10    4.01    7.02
    3.408     3.424   17.09   10.03    3.00
    3.424     3.440   17.07    5.01    2.00
    3.440     3.456   17.08    7.02    2.00
    3.456     3.472   22.13    7.02    5.01
    3.472     3.488   16.08    9.02    2.00
    3.488     3.504   22.12    7.02    3.00
    3.504     3.520   16.06    4.01    2.00
    3.520     3.536   16.07    7.02    3.00
    3.536     3.552   17.07    7.01    1.00
    3.552     3.568   22.12    7.02    2.00
    3.568     3.584   22.12    6.02    4.01
    3.584     3.600   11.04    7.02    4.01
    3.600     3.616   21.10    4.01    3.00
    3.616     3.632   16.07    3.01    5.01
    3.632     3.648   15.07    8.02    4.01
    3.648     3.664   20.10    6.01    3.00
    3.664     3.680   26.14    3.00    1.00
    3.680     3.696   19.08    3.00    2.00
    3.696     3.712   21.11    5.01    3.00
    3.712     3.728   23.15    9.03    6.01
    3.728     3.744   17.09    6.02    7.02
    3.744     3.760   14.07   10.03    3.00
    3.760     3.776   15.06    4.01    5.01
    3.776     3.792   20.11   10.03    1.00
    3.792     3.808   17.07    4.01    3.00
    3.808     3.824   18.11   13.05    3.00
    3.824     3.840   19.10    9.03    3.00
    3.840     3.856   27.17    7.02    2.00
    3.856     3.872   22.13   11.03    1.00
    3.872     3.888   13.06    8.03    5.01
    3.888     3.904   24.12    5.01    0.00
    3.904     3.920   18.09    5.01    4.01
    3.920     3.936   19.10    7.02    5.01
    3.936     3.952   21.12    7.02    4.01
    3.952     3.968    9.03    8.02    3.00
    3.968     3.984   20.11    7.02    3.00
    3.984     4.000   15.07    7.02    3.00
    4.000     4.016   16.07    4.01    5.01
