       Ti        Tf      G1      G2      G3
    5.616     5.632   50.19   26.19    3.00
    5.632     5.648   56.45   32.33    9.03
    5.648     5.664   50.34   35.91   10.03
    5.664     5.680   48.22   30.29    8.02
    5.680     5.696   60.47   25.20    7.02
    5.696     5.712   46.15   29.26    6.01
    5.712     5.728   68.76   31.29    6.01
    5.728     5.744   60.41   22.15    5.01
    5.744     5.760   35.99   39.92    3.00
    5.760     5.776   50.21   30.23    1.00
    5.776     5.792   50.21   23.18    8.02
    5.792     5.808   62.62   35.86    5.01
    5.808     5.824   39.95   23.14    2.00
    5.824     5.840   50.22   28.23    4.01
    5.840     5.856   50.22   29.23    3.00
    5.856     5.872   48.17   29.23    3.00
    5.872     5.888   58.38   26.19    3.00
    5.888     5.904   44.04   23.16    4.01
    5.904     5.920   33.92   33.82    4.01
    5.920     5.936   46.10   25.18    4.01
    5.936     5.952   50.27   30.29    8.02
    5.952     5.968   48.20   32.29    4.01
    5.968     5.984   48.13   25.17    2.00
    5.984     6.000   50.23   28.23    5.01
    6.000     6.016   40.00   26.21    6.01
    6.016     6.032   44.09   26.22    7.02
    6.032     6.048   26.23   21.13    3.00
    6.048     6.064   52.24   26.19    3.00
    6.064     6.080   40.03   28.25    8.02
    6.080     6.096   50.29   33.84    7.02
    6.096     6.112   48.15   28.21    2.00
    6.112     6.128   44.13   31.30    7.02
    6.128     6.144   48.10   23.14    1.00
    6.144     6.160   46.15   30.26    5.01
    6.160     6.176   58.41   26.21    6.01
    6.176     6.192   50.27   33.83    5.01
    6.192     6.208   33.85   23.14    2.00
    6.208     6.224   48.14   26.18    2.00
    6.224     6.240   44.09   30.25    3.00
    6.240     6.256   33.83   19.11    4.01
    6.256     6.272   39.93   15.08    7.02
    6.272     6.288   42.02   23.17    6.01
    6.288     6.304   41.95   15.08    5.01
    6.304     6.320   37.95   26.20    5.01
    6.320     6.336   40.04   29.28    9.03
    6.336     6.352   44.04   21.14    5.01
    6.352     6.368   50.23   26.22    7.02
    6.368     6.384   32.33   22.14    4.01
    6.384     6.400   46.10   25.18    4.01
    6.400     6.416   39.98   24.18    5.01
    6.416     6.432   48.11   22.14    3.00
    6.432     6.448   44.04   24.16    3.00
    6.448     6.464   33.86   24.16    3.00
    6.464     6.480   48.15   23.17    7.02
    6.480     6.496   37.93   25.18    3.00
    6.496     6.512   39.99   27.20    3.00
    6.512     6.528   48.10   21.13    3.00
    6.528     6.544   35.90   24.17    4.01
    6.544     6.560   33.88   24.18    6.01
    6.560     6.576   33.86   25.18    3.00
    6.576     6.592   46.12   29.23    2.00
    6.592     6.608   46.08   23.16    4.01
    6.608     6.624   37.89   19.11    3.00
    6.624     6.640   44.08   29.23    3.00
    6.640     6.656   37.91   20.12    4.01
    6.656     6.672   19.17   24.19    8.02
    6.672     6.688   44.05   25.18    3.00
    6.688     6.704   48.13   18.12    9.03
