tus,dau,det,typ,erg,adr,keV,st,dt,flag
0.792928,1,1,0,133,1,1251.8427,4.343161106109619,1707.0,False
0.7930579999999999,3,2,0,19,8,544.0009,0.0880018025636673,1132.0,False
0.793108,1,1,0,38,1,384.7987,0.0,180.0,False
0.793274,4,2,0,34,11,517.4122,0.03482440114021301,10627.0,False
0.793274,4,3,0,141,12,2012.8065,5.376021862030029,701.0,False
0.79344,4,1,0,1301,10,21795.2734,21.0,1780.0,False
0.793945,1,1,0,113,1,1061.4336,3.327645778656006,837.0,False
0.7945949999999999,1,3,0,72,3,867.4629,3.9397032260894775,7838.0,False
0.79524,1,2,0,86,2,1878.3341,2.5855560302734375,4862.0,False
0.79586,4,2,0,72,11,1185.6618,1.7426471710205078,2586.0,False
0.79586,2,1,0,44,4,410.5688,0.21137599647045135,7049.0,False
0.796353,3,3,0,18,9,474.2721,0.0,5556.0,False
0.796511,4,1,0,1769,10,31222.2395,23.488895416259766,3071.0,False
0.7966369999999999,1,2,0,38,2,829.9246,1.6598491668701172,1397.0,False
0.796904,2,1,0,1689,4,30102.9833,25.04119300842285,1044.0,False
0.797125,3,1,0,57,7,1466.6952,1.6222602128982544,7017.0,False
0.797191,2,2,0,133,5,1771.8762,6.572920799255371,5179.0,False
0.797675,2,1,0,66,4,589.8644,2.898643970489502,748.0,False
0.798215,4,3,0,34,12,499.5564,0.9955639839172363,4941.0,False
0.798356,3,2,0,73,8,2153.7764,1.7691842317581177,5298.0,False
0.798768,2,1,0,31,4,307.3969,0.0,1093.0,False
0.799142,2,1,0,1779,4,32680.0073,26.072002410888672,374.0,False
0.799142,2,2,0,37,5,510.2557,1.0615341663360596,1951.0,False
0.799142,1,1,0,344,1,3516.5,15.0,5197.0,False
0.799142,3,2,0,1601,8,30947.7629,20.13731575012207,786.0,False
0.799142,1,3,0,47,3,575.0157,1.6001255512237549,4547.0,False
0.799142,4,3,0,80,12,1145.1992,2.483997344970703,927.0,False
0.799142,1,2,0,503,2,10450.4379,15.360350608825684,2505.0,False
0.799142,3,3,0,1822,9,32593.9509,21.07516098022461,2789.0,False
0.7993089999999999,4,2,0,217,11,3763.0519,12.052207946777344,3449.0,False
0.7993089999999999,4,3,0,69,12,990.1322,1.98026442527771,167.0,False
0.7993089999999999,4,1,0,1981,10,35770.3709,27.465187072753906,2798.0,False
0.799322,4,3,0,104,12,1484.998,3.6166601181030273,13.0,False
0.80025,4,3,0,47,12,681.2695,1.3625390529632568,928.0,False
0.800609,2,3,0,53,6,598.2597,1.98259699344635,8597.0,False
0.80079,2,1,0,355,4,3493.4185,17.0,1648.0,False
0.800825,1,2,0,1048,2,20204.6496,19.0,1683.0,False
0.800825,1,1,0,166,1,1575.1982,6.067723751068115,1683.0,False
0.800956,2,3,0,209,6,1935.0708,9.116902351379395,347.0,False
0.801167,3,1,0,21,7,542.1458,1.0,4042.0,False
0.801828,2,1,0,1430,4,23238.266,23.0,1038.0,False
0.801828,2,2,0,1440,5,25868.7764,21.69502067565918,2686.0,False
0.801828,3,1,0,1499,7,29071.2703,19.0,661.0,False
0.801828,4,2,0,1791,11,34544.177,26.63534164428711,2519.0,False
0.801828,4,1,0,1755,10,30927.9883,23.37119483947754,2519.0,False
0.801828,4,3,0,1932,12,33294.2746,27.635419845581055,1578.0,False
0.801829,3,3,0,27,9,716.1779,0.4323557913303375,2687.0,False
0.801829,3,2,0,253,8,7227.7186,7.910874366760254,2687.0,False
0.801829,1,3,0,43,3,528.5135,1.2281080484390259,2687.0,False
0.801921,1,2,0,1840,2,31452.7666,21.581106185913086,1096.0,False
0.802172,3,2,0,17,8,483.6033,0.0,343.0,False
0.802508,2,1,0,34,4,331.0228,0.0,680.0,False
0.802662,4,2,0,222,11,3852.7044,12.41081714630127,834.0,False
0.802662,4,1,0,442,10,6688.9329,17.0,834.0,False
0.803034,2,3,0,68,6,713.0284,3.130284070968628,2078.0,False
0.803256,3,1,0,26,7,671.2411,1.0,1428.0,False
0.80331,2,1,0,47,4,434.6705,0.6934099793434143,802.0,False
0.80331,4,3,0,58,12,835.489,1.6709779500961304,1482.0,False
0.80331,4,1,0,36,10,538.7207,1.154882788658142,648.0,False
0.80331,2,2,0,1670,5,31443.3876,23.577354431152344,1482.0,False
0.8035749999999999,4,1,0,141,10,2068.39,5.8490400314331055,265.0,False
0.803623,1,1,0,1826,1,32592.6434,26.037057876586914,2798.0,False
0.803908,4,3,0,52,12,751.3167,1.5026334524154663,598.0,False
0.803939,1,3,0,138,3,1654.5023,5.872669696807861,2110.0,False
0.804036,4,3,0,414,12,6055.3646,17.0,128.0,False
0.804227,3,2,0,1164,8,26017.7823,19.0,2055.0,False
0.804662,2,2,0,68,5,910.0494,3.460296392440796,1352.0,False
0.804897,2,3,0,177,6,1635.0175,8.116724967956543,1863.0,False
0.8049959999999999,1,3,0,1689,3,26404.7989,23.0,1057.0,False
0.8049959999999999,3,1,0,1057,7,22565.3592,17.0,1740.0,False
