lat,lon,alt,mlat,cr,time
-51.6510235940597,-110.298339373773,428.747533676177,-43.95060348510742,6776,2019-03-05T01:16:34
-51.5469871261712,-107.314841973501,428.677586173778,-43.387657165527344,6515,2019-03-05T01:17:04
-51.3611409047701,-104.350623479499,428.572557277594,-42.77939987182617,6065,2019-03-05T01:17:34
-51.0947198588483,-101.416960766439,428.433507288966,-42.13080596923828,6009,2019-03-05T01:18:04
-50.7493368088621,-98.5230980181462,428.260395895176,-41.44673156738281,5844,2019-03-05T01:18:34
-50.3271569742246,-95.6784801937495,428.054309446924,-40.732391357421875,5877,2019-03-05T01:19:04
-49.8305551641538,-92.8902076756032,427.815344360604,-39.99272155761719,5427,2019-03-05T01:19:34
-49.2624463168293,-90.1656538505688,427.544190907967,-39.23301315307617,5225,2019-03-05T01:20:04
-48.6256556833891,-87.5092124873272,427.242427064072,-38.458030700683594,5447,2019-03-05T01:20:34
-47.9235833907731,-84.9258354065833,426.910819387073,-37.67292785644531,5313,2019-03-05T01:21:04
-47.159286331493,-82.4175454780508,426.550436171361,-36.88217544555664,4879,2019-03-05T01:21:34
-46.3363715202043,-79.9869600233833,426.162340790699,-36.09058380126953,4919,2019-03-05T01:22:04
-45.4580058915928,-77.6342973657769,425.748201570744,-35.30226135253906,0,2019-03-05T01:22:34
-44.5278790955956,-75.3603901048276,425.309361981312,-34.52155303955078,0,2019-03-05T01:23:04
-43.5488796958681,-73.1634753234367,424.847109888361,-33.75185012817383,0,2019-03-05T01:23:34
-42.5242800542874,-71.042404320958,424.362983455065,-32.99659729003906,0,2019-03-05T01:24:04
-41.456201567095,-68.9935386959109,423.858052335373,-32.258140563964844,0,2019-03-05T01:24:34
-40.3491911284502,-67.0176713879655,423.335506093453,-31.5401668548584,0,2019-03-05T01:25:04
-39.2055634429586,-65.1111800613048,422.796516992926,-30.84438705444336,0,2019-03-05T01:25:34
-38.0267663753119,-63.2693240782579,422.242358805044,-30.171709060668945,0,2019-03-05T01:26:04
-36.8159297652036,-61.4902595807821,421.675378809743,-29.523645401000977,0,2019-03-05T01:26:34
-35.5746891277246,-59.7699937795458,421.097059610437,-28.900432586669922,0,2019-03-05T01:27:04
-34.3067898656309,-58.1075378621656,420.509991457738,-28.302892684936523,0,2019-03-05T01:27:34
-33.0133644598083,-56.4984732246501,419.916150124721,-27.73007583618164,0,2019-03-05T01:28:04
-31.6964909479975,-54.9399127278157,419.3172499265,-27.181053161621094,0,2019-03-05T01:28:34
-30.3578150499965,-53.4285959423901,418.715279392633,-26.654272079467773,0,2019-03-05T01:29:04
-28.9990965415025,-51.9616514686942,418.112228955328,-26.147823333740234,0,2019-03-05T01:29:34
-27.6217684355528,-50.5360264887036,417.510234318446,-25.659297943115234,0,2019-03-05T01:30:04
-26.2266795656109,-49.1483638792142,416.910490013834,-25.185739517211914,0,2019-03-05T01:30:34
-24.8142099181423,-47.7949093804724,416.314956801679,-24.723886489868164,0,2019-03-05T01:31:04
-23.389781821781,-46.4771186091998,415.72696721697,-24.271747589111328,0,2019-03-05T01:31:34
-21.9521896918872,-45.1900399242395,415.147477383087,-23.825115203857422,0,2019-03-05T01:32:04
-20.502325359387,-43.9310224145969,414.578273997071,-23.38042640686035,0,2019-03-05T01:32:34
-19.0415480622381,-42.6979727500229,414.021251296896,-22.934309005737305,0,2019-03-05T01:33:04
-17.5706766122179,-41.4884607899422,413.477919151718,-22.483367919921875,0,2019-03-05T01:33:34
-16.0909584790782,-40.3005485026278,412.950099974525,-22.024599075317383,0,2019-03-05T01:34:04
-14.6028746601255,-39.1317514705576,412.438884780518,-21.555145263671875,0,2019-03-05T01:34:34
-13.1077823391823,-37.9804478092527,411.946323519855,-21.072914123535156,0,2019-03-05T01:35:04
-11.6062702389226,-36.8444538510376,411.473367509103,-20.57622718811035,0,2019-03-05T01:35:34
-10.0993379403562,-35.7220089727884,411.021185202529,-20.064327239990234,0,2019-03-05T01:36:04
-8.5871609736267,-34.610774858586,410.590918673818,-19.537141799926758,0,2019-03-05T01:36:34
-7.07103927981523,-33.509362642889,410.183724659074,-18.99610710144043,0,2019-03-05T01:37:04
-5.55038556609489,-32.4150251260161,409.800089942195,-18.443328857421875,0,2019-03-05T01:37:34
-4.02834961577256,-31.3277579935863,409.441258799532,-17.883813858032227,0,2019-03-05T01:38:04
-2.5039571761579,-30.2446190521094,409.107750545222,-17.322851181030273,4400,2019-03-05T01:38:34
-0.978614756638623,-29.1643977419562,408.8002288222,-16.768596649169922,4457,2019-03-05T01:39:04
0.547446539236057,-28.0850597628308,408.519334375984,-16.23097038269043,4159,2019-03-05T01:39:34
2.07318432073137,-27.0051571048106,408.264982953657,-15.722550392150879,4093,2019-03-05T01:40:04
3.59836779623139,-25.9226532067264,408.037730908891,-15.258021354675293,4223,2019-03-05T01:40:34
5.121845648489,-24.8361594391039,407.837721027337,-14.854519844055176,4245,2019-03-05T01:41:04
6.64337356573278,-23.743611575279,407.664753502386,-14.530548095703125,4180,2019-03-05T01:41:34
8.16162853359784,-22.6436936313984,407.51847673695,-14.305475234985352,3943,2019-03-05T01:42:04
9.67648791237042,-21.5341791914587,407.398647740418,-14.19765567779541,4129,2019-03-05T01:42:34
11.186797696013,-20.4135404523653,407.304909604731,14.223017692565918,4126,2019-03-05T01:43:04
12.6920854965614,-19.27968498361,407.237035220014,14.393157005310059,4020,2019-03-05T01:43:34
14.191249387047,-18.1309264760993,407.194156186325,14.714012145996094,3878,2019-03-05T01:44:04
15.6838030456087,-16.9650219757373,407.17565592594,15.185559272766113,3936,2019-03-05T01:44:34
17.1684274037405,-15.780281573035,407.18093004688,15.801902770996094,3623,2019-03-05T01:45:04
18.6446627693182,-14.5742626013704,407.208479059217,16.552988052368164,3658,2019-03-05T01:45:34
20.1111982458934,-13.3450453855194,407.258214446952,17.425443649291992,3594,2019-03-05T01:46:04
21.5673190240053,-12.0901294098274,407.328096748982,18.404687881469727,3786,2019-03-05T01:46:34
23.011658878733,-10.8074165309758,407.417718759165,19.475419998168945,3939,2019-03-05T01:47:04
24.4441421522808,-9.49349166389718,407.525207942512,20.623802185058594,4034,2019-03-05T01:47:34
25.8617933688982,-8.14743510273447,407.650002588683,21.83464813232422,3657,2019-03-05T01:48:04
27.2642861758845,-6.76573830726495,407.790287533667,23.096046447753906,3927,2019-03-05T01:48:34
28.6500199583183,-5.34589771834949,407.944880628225,24.396297454833984,4079,2019-03-05T01:49:04
30.0177696612558,-3.88484311417729,408.112013307714,25.725236892700195,4051,2019-03-05T01:49:34
31.3658383485594,-2.37978797311573,408.290674951003,27.073375701904297,4063,2019-03-05T01:50:04
32.6926845374708,-0.827551225902342,408.478882690118,28.432350158691406,4192,2019-03-05T01:50:34
33.9963266395183,0.774664295430204,408.675672385506,29.79423713684082,4654,2019-03-05T01:51:04
35.2755196600076,2.43092831147923,408.879440453085,31.15264129638672,4458,2019-03-05T01:51:34
36.5271235684804,4.14298572937186,409.08804848828,32.49980545043945,4491,2019-03-05T01:52:04
37.7496469649741,5.91492111619318,409.299985787376,33.83030700683594,4717,2019-03-05T01:52:34
38.940518314229,7.74954400576281,409.514323359843,35.138057708740234,4986,2019-03-05T01:53:04
40.0975107114946,9.65031645869929,409.729621479195,36.41777801513672,5044,2019-03-05T01:53:34
41.21781374833,11.6198816265053,409.943565114338,37.663909912109375,5417,2019-03-05T01:54:04
42.2987686630341,13.6611809101006,410.15526170441,38.87141036987305,5455,2019-03-05T01:54:34
43.3373912675383,15.7765396242907,410.363266686415,40.03519058227539,6029,2019-03-05T01:55:04
44.3307272370988,17.9682498033355,410.566138641921,41.15046310424805,5960,2019-03-05T01:55:34
