######    yyyy-MMM-dd HH:mm:ss.SSSSSS      Corr 
 
000230    2021-Jan-02 16:00:32.115146     -66098 
000231    2021-Jan-02 16:00:51.283489     -65977 
000232    2021-Jan-02 16:01:12.365686     -65843 
000233    2021-Jan-02 16:01:22.115865     -65779 
000234    2021-Jan-02 16:01:30.697559     -65728 
000235    2021-Jan-02 16:01:50.466682     -65600 
000236    2021-Jan-02 16:01:52.383453     -65587 
000237    2021-Jan-02 17:34:29.678540     -29883 
000238    2021-Jan-02 17:35:05.845688     -29654 
000239    2021-Jan-02 17:35:14.679201     -29596 
000240    2021-Jan-02 17:35:16.346180     -29583 
000241    2021-Jan-02 17:35:18.679179     -29571 
000242    2021-Jan-02 17:35:19.845629     -29564 
000243    2021-Jan-02 17:35:21.845648     -29552 
000244    2021-Jan-02 17:35:25.429367     -29526 
000245    2021-Jan-02 17:35:26.429351     -29520 
000246    2021-Jan-02 17:35:27.512572     -29513 
000247    2021-Jan-02 17:35:29.678113     -29501 
000248    2021-Jan-02 17:35:31.428307     -29488 
000249    2021-Jan-02 17:35:33.345036     -29475 
000250    2021-Jan-02 17:35:34.345089     -29469 
000251    2021-Jan-02 17:35:35.345026     -29462 
000252    2021-Jan-02 17:35:36.428287     -29456 
000253    2021-Jan-02 17:35:37.428251     -29450 
000254    2021-Jan-02 17:35:38.431272     -29443 
000255    2021-Jan-02 17:35:39.430256     -29437 
000256    2021-Jan-02 17:35:40.430258     -29431 
000257    2021-Jan-02 17:35:41.513492     -29424 
000258    2021-Jan-02 17:35:42.846465     -29418 
000259    2021-Jan-02 17:35:43.846504     -29411 
000260    2021-Jan-02 17:35:45.180519     -29399 
000261    2021-Jan-02 17:35:46.180564     -29392 
000262    2021-Jan-02 17:35:48.846445     -29380 
000263    2021-Jan-02 17:35:51.263661     -29360 
000264    2021-Jan-02 17:35:52.263670     -29354 
000265    2021-Jan-02 17:35:53.263784     -29348 
000266    2021-Jan-02 17:35:54.263660     -29341 
000267    2021-Jan-02 17:35:55.263628     -29335 
000268    2021-Jan-02 17:35:57.763109     -29322 
000269    2021-Jan-02 17:35:58.763191     -29316 
000270    2021-Jan-02 17:36:00.263613     -29303 
000271    2021-Jan-02 17:36:01.263617     -29297 
000272    2021-Jan-02 17:36:02.263601     -29290 
000273    2021-Jan-02 17:36:03.263632     -29284 
000274    2021-Jan-02 17:36:04.512363     -29278 
000275    2021-Jan-02 17:36:07.096282     -29259 
000276    2021-Jan-02 17:36:08.595572     -29252 
000277    2021-Jan-02 17:36:09.595591     -29246 
000278    2021-Jan-02 17:36:10.595660     -29240 
000279    2021-Jan-02 17:36:13.345787     -29221 
000280    2021-Jan-02 17:36:14.429070     -29214 
000281    2021-Jan-02 17:36:16.929227     -29202 
000282    2021-Jan-02 17:36:19.929418     -29182 
000283    2021-Jan-02 19:03:40.898135       4407 
000284    2021-Jan-02 19:03:44.896673       4433 
000285    2021-Jan-02 19:04:14.062133       4621 
000286    2021-Jan-02 19:04:18.811304       4653 
000287    2021-Jan-02 19:04:22.228466       4679 
000288    2021-Jan-02 19:04:46.230351       4834 
000289    2021-Jan-02 19:16:48.657868       9508 
000290    2021-Jan-02 19:17:10.406950       9650 
000291    2021-Jan-02 20:34:22.359660      39722 
000292    2021-Jan-02 20:35:11.460540      40040 
000293    2021-Jan-02 20:38:36.375000      41372 
000294    2021-Jan-02 20:38:39.543352      41392 
000295    2021-Jan-02 20:38:49.792065      41457 
000296    2021-Jan-02 20:38:58.875323      41515 
000297    2021-Jan-02 20:39:07.292426      41574 
000298    2021-Jan-02 20:39:12.957430      41606 
000299    2021-Jan-02 20:39:15.291428      41626 
000300    2021-Jan-02 20:39:16.874299      41632 
000301    2021-Jan-02 20:39:23.291383      41678 
000302    2021-Jan-02 20:39:25.125458      41684 
000303    2021-Jan-02 20:39:29.125465      41710 
000304    2021-Jan-02 20:39:31.957376      41730 
000305    2021-Jan-02 20:39:35.790813      41756 
000306    2021-Jan-02 20:39:39.959279      41782 
000307    2021-Jan-02 20:39:42.876060      41801 
000308    2021-Jan-02 20:39:46.127384      41821 
000309    2021-Jan-02 20:39:57.042135      41892 
000310    2021-Jan-02 20:39:58.209008      41905 
000311    2021-Jan-02 20:40:02.791563      41931 
