######    yyyy-MMM-dd HH:mm:ss.SSSSSS      Corr 
 
000190    2021-Jan-03 12:05:55.138757     -76055 
000191    2021-Jan-03 12:22:43.117297     -79846 
000192    2021-Jan-03 12:23:39.597359     -80056 
000193    2021-Jan-03 12:28:26.060668     -81145 
000194    2021-Jan-03 13:53:20.888112     -99864 
000195    2021-Jan-03 13:58:28.851819     -97916 
000196    2021-Jan-03 14:01:11.877676     -96887 
000197    2021-Jan-03 14:01:26.638518     -96799 
000198    2021-Jan-03 14:02:19.442589     -96464 
000199    2021-Jan-03 14:02:26.989137     -96413 
000200    2021-Jan-03 14:03:47.515550     -95908 
000201    2021-Jan-03 14:06:34.897366     -94846 
000202    2021-Jan-03 15:09:21.220676     -70819 
000203    2021-Jan-03 15:19:01.636016     -67129 
000204    2021-Jan-03 15:31:00.865170     -62551 
000205    2021-Jan-03 15:33:05.318748     -61760 
000206    2021-Jan-03 16:43:34.621502     -34437 
000207    2021-Jan-03 16:53:22.488376     -30606 
000208    2021-Jan-03 16:54:04.796553     -30332 
000209    2021-Jan-03 17:01:39.190714     -27369 
000210    2021-Jan-03 17:10:56.609036     -23741 
000211    2021-Jan-03 17:11:30.981215     -23513 
000212    2021-Jan-03 18:14:18.815433       1003 
000213    2021-Jan-03 18:15:28.787104       1456 
000214    2021-Jan-03 18:17:38.609578       2299 
000215    2021-Jan-03 18:34:08.067799       8720 
000216    2021-Jan-03 18:35:14.118421       9148 
000217    2021-Jan-03 18:36:03.209561       9466 
000218    2021-Jan-03 18:38:49.790859      10543 
000219    2021-Jan-03 18:39:07.516840      10660 
000220    2021-Jan-03 19:50:52.172037      38481 
000221    2021-Jan-03 20:10:24.886666      45950 
000222    2021-Jan-03 20:15:10.163250      47764 
000223    2021-Jan-03 21:23:03.615622      73498 
000224    2021-Jan-03 21:34:05.888854      77656 
000225    2021-Jan-03 21:35:13.395281      78082 
000226    2021-Jan-03 21:46:07.648258      82182 
000227    2021-Jan-03 21:47:04.033366      82539 
000228    2021-Jan-03 21:49:23.051271      83410 
000229    2021-Jan-03 22:52:56.049162      98543 
000230    2021-Jan-03 22:55:56.909646      97859 
000231    2021-Jan-03 23:03:05.473552      96229 
000232    2021-Jan-03 23:06:35.883925      95433 
000233    2021-Jan-03 23:07:34.510595      95209 
000234    2021-Jan-03 23:20:39.819751      92234 
000235    2021-Jan-04 00:29:39.403210      76738 
000236    2021-Jan-04 00:34:58.010749      75559 
000237    2021-Jan-04 00:50:06.892969      72178 
000238    2021-Jan-04 00:53:19.842613      71458 
000239    2021-Jan-04 02:01:33.932603      56125 
000240    2021-Jan-04 02:05:10.756321      55314 
000241    2021-Jan-04 02:07:36.282190      54768 
000242    2021-Jan-04 02:12:41.378634      53627 
000243    2021-Jan-04 02:14:50.419946      53143 
000244    2021-Jan-04 02:16:31.686549      52765 
000245    2021-Jan-04 02:23:39.945452      51160 
000246    2021-Jan-04 03:31:55.922251      35933 
000247    2021-Jan-04 03:43:12.041483      33445 
000248    2021-Jan-04 03:50:01.134012      31939 
000249    2021-Jan-04 03:51:11.739123      31678 
000250    2021-Jan-04 04:02:51.417006      29096 
000251    2021-Jan-04 05:14:51.288624      13001 
000252    2021-Jan-04 05:18:54.908390      12072 
000253    2021-Jan-04 05:21:59.793846      11366 
000254    2021-Jan-04 05:28:41.982165       9831 
000255    2021-Jan-04 05:32:34.070986       8944 
000256    2021-Jan-04 05:34:06.928836       8588 
000257    2021-Jan-04 06:37:22.363467      -5843 
000258    2021-Jan-04 06:43:53.853710      -7299 
000259    2021-Jan-04 06:47:45.678503      -8162 
000260    2021-Jan-04 06:52:56.711042      -9320 
000261    2021-Jan-04 06:53:43.746700      -9495 
000262    2021-Jan-04 07:05:55.668307     -12219 
000263    2021-Jan-04 07:08:00.852942     -12683 
000264    2021-Jan-04 08:21:16.613017     -29164 
000265    2021-Jan-04 08:27:32.298055     -30584 
000266    2021-Jan-04 08:35:00.738664     -32285 
000267    2021-Jan-04 08:39:25.834036     -33290 
000268    2021-Jan-04 10:00:37.481144     -51808 
000269    2021-Jan-04 10:06:22.534569     -53125 
000270    2021-Jan-04 11:17:15.146752     -69213 
000271    2021-Jan-04 11:17:27.109279     -69257 
000272    2021-Jan-04 11:18:04.850652     -69397 
000273    2021-Jan-04 11:18:48.613807     -69562 
000274    2021-Jan-04 11:27:20.313935     -71451 
000275    2021-Jan-04 11:27:27.727513     -71481 
000276    2021-Jan-04 11:28:14.686786     -71656 
000277    2021-Jan-04 11:28:51.217984     -71788 
000278    2021-Jan-04 11:30:07.976907     -72073 
000279    2021-Jan-04 11:32:07.856327     -72518 
000280    2021-Jan-04 11:37:12.929510     -73650 
