Full photon list bin count,Filtered (by=energy flags) bin count,Filtered+ (by=energy flags background) bin count. bg is 10 counts pr 2 ms bin,left bin edge [ms]
32,15,5,668.142604
27,10,0,670.142604
32,13,3,672.142604
28,11,1,674.142604
15,3,-7,676.142604
25,12,2,678.142604
19,10,0,680.142604
22,12,2,682.142604
15,7,-3,684.142604
26,14,4,686.142604
17,10,0,688.142604
22,7,-3,690.142604
16,8,-2,692.142604
29,13,3,694.142604
28,10,0,696.142604
36,15,5,698.142604
23,10,0,700.142604
25,10,0,702.142604
23,9,-1,704.142604
16,9,-1,706.142604
18,7,-3,708.142604
22,5,-5,710.142604
19,11,1,712.142604
21,11,1,714.142604
25,13,3,716.142604
22,10,0,718.142604
23,12,2,720.142604
18,6,-4,722.142604
20,8,-2,724.142604
17,7,-3,726.142604
16,6,-4,728.142604
26,13,3,730.142604
25,17,7,732.142604
29,14,4,734.142604
30,5,-5,736.142604
15,10,0,738.142604
12,8,-2,740.142604
16,8,-2,742.142604
32,11,1,744.142604
17,9,-1,746.142604
39,18,8,748.142604
14,7,-3,750.142604
14,10,0,752.142604
23,17,7,754.142604
17,8,-2,756.142604
15,9,-1,758.142604
27,10,0,760.142604
33,15,5,762.142604
41,17,7,764.142604
23,9,-1,766.142604
24,6,-4,768.142604
20,8,-2,770.142604
16,3,-7,772.142604
22,8,-2,774.142604
17,12,2,776.142604
19,8,-2,778.142604
31,18,8,780.142604
19,7,-3,782.142604
13,11,1,784.142604
17,11,1,786.142604
20,10,0,788.142604
19,9,-1,790.142604
19,4,-6,792.142604
26,11,1,794.142604
27,9,-1,796.142604
24,11,1,798.142604
24,11,1,800.142604
21,10,0,802.142604
29,19,9,804.142604
28,9,-1,806.142604
27,9,-1,808.142604
22,10,0,810.142604
24,8,-2,812.142604
22,9,-1,814.142604
27,9,-1,816.142604
22,8,-2,818.142604
30,15,5,820.142604
14,11,1,822.142604
29,13,3,824.142604
20,5,-5,826.142604
12,8,-2,828.142604
21,8,-2,830.142604
28,10,0,832.142604
27,14,4,834.142604
22,11,1,836.142604
45,19,9,838.142604
23,10,0,840.142604
24,12,2,842.142604
18,8,-2,844.142604
51,22,12,846.142604
