tus;erg;typ;adr;dau;det;kev;cal_abc
-901656.3055555555;36;0;1;1;1;380.5078;0.005286, 8.364000, 72.553100
-901146.0833333334;23;0;1;1;1;267.7214;0.005286, 8.364000, 72.553100
-899840.9166666666;672;0;1;1;1;8080.2341;0.005286, 8.364000, 72.553100
-898547.4722222222;29;0;1;1;1;319.5546;0.005286, 8.364000, 72.553100
-897917.25;1545;0;1;1;1;25612.7473;0.005286, 8.364000, 72.553100
-897182.3888888889;54;0;1;1;1;539.6231;0.005286, 8.364000, 72.553100
-894676.5833333334;1730;0;1;1;1;30362.7425;0.005286, 8.364000, 72.553100
-887097.8888888889;30;0;1;1;1;328.2305;0.005286, 8.364000, 72.553100
-885187.0;25;0;1;1;1;284.9569;0.005286, 8.364000, 72.553100
-881268.5277777778;51;0;1;1;1;512.866;0.005286, 8.364000, 72.553100
-880225.3611111111;41;0;1;1;1;424.3629;0.005286, 8.364000, 72.553100
-873585.9444444445;109;0;1;1;1;1047.0321;0.005286, 8.364000, 72.553100
-872215.8611111111;50;0;1;1;1;503.9681;0.005286, 8.364000, 72.553100
-870710.8888888889;147;0;1;1;1;1416.2863;0.005286, 8.364000, 72.553100
-869811.8611111111;66;0;1;1;1;647.6029;0.005286, 8.364000, 72.553100
-868411.6388888889;115;0;1;1;1;1104.3205;0.005286, 8.364000, 72.553100
-863735.9444444445;33;0;1;1;1;354.3216;0.005286, 8.364000, 72.553100
-862938.3611111111;1978;0;1;1;1;37297.9355;0.005286, 8.364000, 72.553100
-862390.2222222222;1301;0;1;1;1;19901.206;0.005286, 8.364000, 72.553100
-861783.4722222222;32;0;1;1;1;345.614;0.005286, 8.364000, 72.553100
-861283.5;1592;0;1;1;1;26785.2178;0.005286, 8.364000, 72.553100
-858822.3888888889;28;0;1;1;1;310.8893;0.005286, 8.364000, 72.553100
-858043.3333333334;76;0;1;1;1;738.749;0.005286, 8.364000, 72.553100
-857928.8333333334;1785;0;1;1;1;31844.6785;0.005286, 8.364000, 72.553100
-857574.9166666666;27;0;1;1;1;302.2346;0.005286, 8.364000, 72.553100
-857300.6666666666;276;0;1;1;1;2783.6834;0.005286, 8.364000, 72.553100
-855876.75;170;0;1;1;1;1647.1985;0.005286, 8.364000, 72.553100
-855348.5833333334;22;0;1;1;1;259.1195;0.005286, 8.364000, 72.553100
-854557.5277777778;46;0;1;1;1;468.4823;0.005286, 8.364000, 72.553100
-853840.2222222222;158;0;1;1;1;1526.0248;0.005286, 8.364000, 72.553100
-852180.3611111111;25;0;1;1;1;284.9569;0.005286, 8.364000, 72.553100
-852170.0555555555;106;0;1;1;1;1018.5306;0.005286, 8.364000, 72.553100
-850729.9722222222;391;0;1;1;1;4151.0061;0.005286, 8.364000, 72.553100
