|name        |t90     |flnc_band_epeak|flnc_band_alpha|flnc_band_beta|
|GRB100910818|  13.824|   1.518146e+02|  -9.486510e-01| -2.364510e+00|
|GRB090427688|  12.288|   4.856984e+01|   1.932740e+00| -2.305436e+00|
|GRB101219686|  51.009|   6.330679e+01|   8.852751e-01| -2.390578e+00|
|GRB120707800|  40.960|   1.573143e+02|  -1.031019e+00| -2.189692e+00|
|GRB221216473| 184.324|               |               |              |
|GRB110409179|   0.128|   2.022788e+02|   8.309392e-01| -1.804246e+00|
|GRB200112395|  38.912|               |               |              |
|GRB200929204|   2.048|               |               |              |
|GRB230129246|  72.961|               |               |              |
|GRB200826187|   1.136|               |               |              |
|GRB090310189| 116.930|   1.277811e+02|  -8.785759e-01| -8.780624e+00|
|GRB090829672|  67.585|   1.879220e+02|  -1.492815e+00| -2.187978e+00|
|GRB150214293|   0.192|   6.208117e+02|  -5.901292e-01| -2.148958e+00|
|GRB081222204|  18.880|   1.472107e+02|  -8.443683e-01| -2.299758e+00|
|GRB141110232|  36.608|   1.830186e+02|  -1.095492e+00| -1.964901e+00|
|GRB220305481| 172.803|               |               |              |
|GRB200407388|  47.872|               |               |              |
|GRB160310291|  23.613|   5.595835e+01|  -1.238000e+00| -2.443000e+00|
|GRB190821716|  59.904|               |               |              |
|GRB161206064|  33.537|   2.431477e+02|  -8.465157e-01| -2.006227e+00|
|GRB190530430|  18.432|               |               |              |
|GRB110616648|  12.544|   2.171097e+01|   2.089852e-01| -1.826642e+00|
|GRB170726249|   1.792|   2.035597e+02|  -4.979169e-01| -3.070038e+00|
|GRB110509142|  68.864|   1.044151e+02|   2.201737e-01| -2.675550e+00|
|GRB120119354|  16.896|   1.626165e+02|  -1.022164e+00| -1.322811e+01|
|GRB081213173|   0.256|   1.973665e+03|  -1.136558e+00| -9.717863e+00|
|GRB220609063|  11.520|               |               |              |
|GRB220728681|   1.152|               |               |              |
|GRB130614997|   9.280|   9.214346e+01|  -1.397181e+00| -2.670376e+00|
|GRB211109028|   8.960|               |               |              |
|GRB080808451|   4.352|   9.550806e+01|   1.484148e-01| -1.929925e+00|
|GRB191017391|  67.841|               |               |              |
|GRB190109217| 123.902|               |               |              |
|GRB200506404| 204.548|               |               |              |
|GRB130819394|  82.689|   8.073792e+01|  -3.918990e-01| -3.023127e+00|
|GRB180810278|  15.104|               |               |              |
|GRB120506128|   2.304|   1.081331e+02|  -5.138268e-01| -2.000683e+00|
|GRB190531568|   0.320|               |               |              |
|GRB091101143|  10.688|   1.284819e+02|  -7.853867e-01| -2.434218e+00|
|GRB141031998|   0.160|   8.799354e+02|  -7.873508e-01| -2.593216e+00|
|GRB180724807|  58.113|               |               |              |
|GRB211116586|  19.968|               |               |              |
|GRB220715934|  39.680|               |               |              |
|GRB220222808|  10.752|               |               |              |
|GRB181020424|  13.312|               |               |              |
|GRB180405169|  28.477|   1.289986e+02|  -8.951347e-01| -3.396573e+00|
|GRB090626189|  48.897|   1.866007e+02|  -1.238423e+00| -2.203305e+00|
|GRB171223818|   0.384|   1.097971e+03|  -6.061425e-01| -2.722275e+00|
|GRB150805746|   1.408|   5.111371e+01|  -2.325386e-02| -2.714040e+00|
|GRB180411546|  29.696|   1.006759e+02|  -1.209873e+00| -1.565738e+00|
|GRB111109453|   4.864|   2.192394e+02|  -1.272237e+00| -1.413881e+00|
|GRB131209547|  13.568|   2.989080e+02|  -5.857120e-01| -4.026152e+00|
|GRB080812889|  15.040|   1.519039e+02|  -1.834784e-01| -2.160621e+00|
|GRB140919636| 108.546|   1.330285e+01|  -1.238797e+00| -1.894489e+00|
|GRB111022854|   0.192|   3.810351e+02|  -6.424403e-01| -3.404699e+00|
|GRB160512199|  78.081|   9.605462e+01|  -1.047026e+00| -3.315665e+00|
|GRB200801650|  63.745|               |               |              |
|GRB220401896|  32.000|               |               |              |
|GRB160519060|  17.664|   5.336421e+01|  -1.153309e+00| -3.816213e+00|
|GRB171117515| 105.922|   1.160129e+02|  -1.404550e+00| -2.154723e+00|
|GRB090108322|   0.192|   1.023620e+03|  -9.054782e-01| -2.402952e+00|
|GRB090129880|  16.640|   1.668288e+02|  -1.480236e+00| -2.105244e+00|
|GRB160111115|  26.880|   3.370714e+01|  -7.544995e-01| -1.962919e+00|
|GRB170429799| 220.163|   4.478130e+01|  -1.849922e+00| -1.890734e+00|
|GRB140901821|   0.176|   1.341584e+03|  -3.862774e-01| -4.624014e+00|
|GRB170106968|  31.232|               |               |              |
|GRB150122960|  53.249|   6.137039e+00|  -1.322350e+00| -1.455149e+00|
|GRB210924960|  10.240|               |               |              |
|GRB200915846|   0.960|               |               |              |
|GRB140701833|   6.912|   1.880462e+02|  -1.100716e+00| -9.563599e+00|
|GRB151120349|  28.416|   2.165456e+02|  -1.371126e+00| -2.206554e+00|
|GRB220627890| 136.706|               |               |              |
|GRB230207021|  22.528|               |               |              |
|GRB191111347|   5.376|               |               |              |
|GRB190202234|  97.536|               |               |              |
|GRB140720158|   0.320|   3.503084e+02|  -3.973756e-01| -6.922969e+00|
|GRB110505203|   4.096|   1.069791e+02|  -1.219591e+00| -2.615136e+00|
|GRB180710062|  90.112|   1.288458e+02|  -5.373003e-01| -3.467606e+00|
|GRB120526303|  43.649|   7.827846e+02|  -8.323485e-01| -2.977991e+00|
|GRB120429484|  15.360|   4.496595e+02|  -1.822714e+00| -5.711634e+00|
|GRB140329295|  21.248|   2.288074e+02|  -8.129236e-01| -2.249880e+00|
|GRB141105358|  19.200|   4.834585e+01|   1.035476e-01| -2.037901e+00|
|GRB130112353|   2.048|   5.537648e+02|  -7.096162e-01| -1.192093e+01|
|GRB081206604|   7.936|   1.098357e+02|  -1.389955e+00| -2.537758e+00|
|GRB120711446|  87.552|   2.702714e+02|  -6.728977e-01| -1.834235e+00|
|GRB201016136| 165.123|               |               |              |
|GRB200325138|   0.960|               |               |              |
|GRB170826819|  11.008|   3.836432e+02|  -9.581218e-01| -2.268848e+00|
|GRB190808498|  47.360|               |               |              |
|GRB200613229| 478.026|               |               |              |
|GRB111010660|   8.704|   1.055726e+02|  -1.439170e+00| -1.690346e+00|
|GRB120811014|   0.448|   1.317447e+03|  -3.141298e-01| -7.199110e+00|
|GRB090101758| 108.802|   1.105970e+02|  -1.075130e+00| -1.490722e+01|
|GRB090513916|  25.280|   7.985958e+02|  -8.646905e-01| -4.651358e+00|
|GRB210401970| 301.061|               |               |              |
|GRB180413118|  57.857|   3.830347e+02|  -1.166250e+00| -3.893554e+00|
|GRB180718763|  98.306|               |               |              |
|GRB190608009|  85.250|               |               |              |
|GRB211121434| 333.064|               |               |              |
|GRB191022341|  77.824|               |               |              |
|GRB120710100| 131.840|   8.242425e+01|  -1.309219e+00| -3.610240e+00|
|GRB190817953|   8.448|               |               |              |
|GRB091122163|   2.944|   1.970696e+03|  -1.267353e+00| -1.629439e+00|
|GRB220715368|  13.312|               |               |              |
|GRB191008297|  32.513|               |               |              |
|GRB120219563|   8.128|   1.995598e+03|  -8.164487e-01| -7.995000e+00|
|GRB101214993|  11.520|   7.230015e+02|  -1.364588e+00| -1.608019e+00|
|GRB130715906|  47.873|   2.282868e+02|  -1.592990e-01| -2.129938e+00|
|GRB091006360|   0.192|   1.850390e+02|  -6.762251e-01| -5.284593e+00|
|GRB220326173|  23.552|               |               |              |
|GRB190707285|  36.353|               |               |              |
|GRB130701761|   1.600|   1.209843e+03|  -5.338577e-01| -1.339594e+01|
|GRB190719113|  84.738|               |               |              |
|GRB210620204|  53.760|               |               |              |
|GRB191031891|   0.256|               |               |              |
|GRB151218857|   3.328|   9.781355e+01|  -1.186603e+00| -2.009479e+00|
|GRB170711019|  15.104|   7.574197e+02|  -1.407473e+00| -2.188830e+00|
|GRB230111797|   7.936|               |               |              |
|GRB221127352|   0.512|               |               |              |
|GRB141209131|  78.081|   1.979140e+02|  -6.045528e-01| -1.909851e+00|
|GRB211219622|  31.741|               |               |              |
|GRB191213254|  18.944|               |               |              |
|GRB090112332|  58.369|   1.392139e+02|  -1.146889e+00| -2.173736e+00|
|GRB190411579|  60.928|               |               |              |
|GRB140223495|  17.408|   5.355312e+02|  -6.238280e-01| -2.330548e+00|
|GRB171023097|  64.257|   1.680370e+02|  -9.028553e-01| -2.453819e+00|
|GRB170127634|   1.728|   4.816834e+02|  -2.916098e-01| -2.152711e+00|
|GRB150511362|  31.232|   6.658561e+01|  -6.716425e-01| -1.893846e+00|
|GRB080904886|  17.344|   3.108964e+01|  -7.719296e-01| -2.513691e+00|
|GRB160625240|  10.752|   8.821818e+01|  -1.342280e+00| -2.546431e+00|
|GRB150426594|  22.528|   1.354202e+02|  -1.042863e+00| -2.842446e+00|
|GRB150318521|  94.720|   1.441356e+02|  -1.286357e+00| -7.299805e+00|
|GRB210815100|   7.168|               |               |              |
|GRB210125369|  68.864|               |               |              |
|GRB180110608|   1.536|               |               |              |
|GRB140511095|   1.408|   3.253508e+02|  -9.469624e-01| -3.344666e+00|
|GRB220306306|   4.925|               |               |              |
|GRB150227702|  17.408|   1.904589e+01|   3.428980e-01| -2.186000e+00|
|GRB090109332|   1.728|   1.904143e+02|  -1.328805e+00| -1.942074e+00|
|GRB191203290|   0.832|               |               |              |
|GRB180703949|   1.536|   1.265720e+02|  -7.062434e-01| -2.959247e+00|
|GRB111221739|  27.136|   1.274345e+03|  -9.371233e-01| -3.193085e+00|
|GRB170730133|   6.656|   6.448107e+01|  -6.518039e-01| -3.158569e+00|
|GRB120703726|   8.960|   3.217761e+02|  -1.081516e+00| -5.687032e+00|
|GRB170910368|  27.392|   6.563945e+01|  -6.234328e-01| -2.565006e+00|
|GRB181126413|   2.112|               |               |              |
|GRB220624316|   2.176|               |               |              |
|GRB161117066| 122.178|   8.066521e+01|  -8.111083e-01| -3.022733e+00|
|GRB100306199|   7.168|   8.635228e+00|  -7.696862e-01| -1.511168e+00|
|GRB110703557|   6.720|   1.009970e+02|  -1.121446e+00| -5.488162e+00|
|GRB140901262|  65.025|   1.506182e+02|  -7.350095e-01| -3.762243e+00|
|GRB091123298| 624.459|   4.572306e+01|  -6.825419e-02| -1.748767e+00|
|GRB161220605|  41.729|   1.362242e+02|  -7.712625e-01| -2.280203e+00|
