|name        |t90     |flnc_band_epeak|flnc_band_alpha|flnc_band_beta|
|GRB101011707|  36.352|   8.690561e+02|  -7.831486e-01| -8.381249e+00|
|GRB200317028|   7.616|               |               |              |
|GRB210822273|  18.624|               |               |              |
|GRB210211363|  28.673|               |               |              |
|GRB090625560|  13.056|   1.370512e+02|  -7.090983e-01| -1.245975e+01|
|GRB160303971|  27.136|   1.864337e+02|  -1.319120e+00| -1.467321e+01|
|GRB120426090|   2.688|   1.246208e+02|  -7.188883e-01| -2.829946e+00|
|GRB130727698|  12.992|   1.176695e+02|  -1.098387e+00| -2.179419e+00|
|GRB101023951|  76.801|   1.484127e+02|  -1.045819e+00| -2.349216e+00|
|GRB170827818|   0.832|   3.350591e+02|  -8.529317e-01| -2.953212e+00|
|GRB161105417|  41.473|   2.253318e+02|  -1.200111e+00| -1.845372e+00|
|GRB201217108|  37.121|               |               |              |
|GRB170210116|  76.545|   5.225127e+02|  -1.155131e+00| -2.704719e+00|
|GRB210709201|  30.977|               |               |              |
|GRB090924625|   0.352|   6.156902e+02|  -5.175762e-01| -2.436385e+00|
|GRB090602564|  20.736|   7.288168e+02|  -6.960298e-01| -2.375694e+00|
|GRB180528371|  16.896|   1.755698e+02|   4.647918e-01| -1.866365e+00|
|GRB110411629|  23.552|   8.265450e+01|  -9.376859e-01| -2.349162e+00|
|GRB210317381|  46.337|               |               |              |
|GRB150826557|  33.024|   1.785529e+02|  -1.302583e+00| -1.876562e+01|
|GRB190903722|   0.272|               |               |              |
|GRB190804058|   4.224|               |               |              |
|GRB220826497|  16.640|               |               |              |
|GRB120921877|   5.632|   3.877733e+01|   6.464429e+00| -1.911515e+00|
|GRB170126480|  13.824|   1.500346e+02|  -7.210785e-01| -2.106371e+00|
|GRB090711850|  51.969|   1.609755e+02|  -7.671954e-01| -1.636560e+00|
|GRB180113418|  24.576|   2.613019e+02|  -6.083154e-01| -2.012856e+00|
|GRB091017985|  44.800|   7.145689e+01|  -2.853626e-02| -2.012404e+00|
|GRB081225257|  41.217|   3.509508e+02|  -1.196665e+00| -1.963276e+00|
|GRB101213849|   5.120|   8.006820e+01|  -1.230823e+00| -9.004622e+00|
|GRB211216282|  20.224|               |               |              |
|GRB220830319|  61.441|               |               |              |
|GRB150805445|  45.825|   1.198354e+02|  -6.181436e-01| -7.865576e+00|
|GRB181128129|   1.728|               |               |              |
|GRB190407575|  58.880|               |               |              |
|GRB200228291|   3.584|               |               |              |
|GRB140612294|  38.913|   1.297174e+02|  -2.350492e-01| -2.946560e+00|
|GRB151117442|  58.561|   1.440807e+02|  -1.251680e+00| -2.408390e+00|
|GRB150204272|  11.008|   5.703730e+01|  -8.196937e-01| -1.715998e+00|
|GRB110818860|  67.073|   1.847757e+02|  -1.053983e+00| -1.804653e+00|
|GRB170127067|   0.128|   8.309344e+02|   2.437668e-01| -3.901351e+00|
|GRB140508179|  19.456|   1.360125e+02|  -4.855735e-01| -2.804765e+00|
|GRB130523198|   5.376|   5.477004e+01|  -2.726542e-01| -4.342501e+00|
|GRB180727594|   0.896|               |               |              |
|GRB131105087| 112.642|   2.687265e+02|  -1.263348e+00| -9.127750e+00|
|GRB200205845|  17.408|               |               |              |
|GRB221206464|  15.872|               |               |              |
|GRB131030653|  53.248|   1.739861e+02|  -1.116863e+00| -4.141888e+00|
|GRB180602938|   0.008|   3.837670e+02|  -6.002896e-01| -3.182803e+00|
|GRB150403913|  22.272|   4.287387e+02|  -8.732561e-01| -2.108333e+00|
