tus,erg,typ,adr,dau,det,keV,cal_abc
18222.194444444445,1073,0,11,4,2,19480.405546,"0.001654, 16.4206, -43.19642"
27442.222222222223,129,0,11,4,2,2102.585194,"0.001654, 16.4206, -43.19642"
29802.75,58,0,11,4,2,914.7624360000001,"0.001654, 16.4206, -43.19642"
29822.75,37,0,11,4,2,566.630106,"0.001654, 16.4206, -43.19642"
29933.416666666668,34,0,11,4,2,517.016004,"0.001654, 16.4206, -43.19642"
30004.75,34,0,11,4,2,517.016004,"0.001654, 16.4206, -43.19642"
30014.805555555555,33,0,11,4,2,500.48458600000004,"0.001654, 16.4206, -43.19642"
30308.333333333332,33,0,11,4,2,500.48458600000004,"0.001654, 16.4206, -43.19642"
30483.694444444445,42,0,11,4,2,649.386436,"0.001654, 16.4206, -43.19642"
30531.36111111111,47,0,11,4,2,732.225466,"0.001654, 16.4206, -43.19642"
30936.25,86,0,11,4,2,1381.2081640000001,"0.001654, 16.4206, -43.19642"
30955.444444444445,33,0,11,4,2,500.48458600000004,"0.001654, 16.4206, -43.19642"
30958.694444444445,150,0,11,4,2,2457.10858,"0.001654, 16.4206, -43.19642"
31014.527777777777,73,0,11,4,2,1164.321546,"0.001654, 16.4206, -43.19642"
31117.36111111111,49,0,11,4,2,765.3842340000001,"0.001654, 16.4206, -43.19642"
31224.472222222223,44,0,11,4,2,682.512124,"0.001654, 16.4206, -43.19642"
31295.5,33,0,11,4,2,500.48458600000004,"0.001654, 16.4206, -43.19642"
31298.36111111111,86,0,11,4,2,1381.2081640000001,"0.001654, 16.4206, -43.19642"
31312.63888888889,31,0,11,4,2,467.43167400000004,"0.001654, 16.4206, -43.19642"
31408.86111111111,78,0,11,4,2,1247.673316,"0.001654, 16.4206, -43.19642"
31412.61111111111,37,0,11,4,2,566.630106,"0.001654, 16.4206, -43.19642"
31417.972222222223,47,0,11,4,2,732.225466,"0.001654, 16.4206, -43.19642"
31421.88888888889,32,0,11,4,2,483.95647600000007,"0.001654, 16.4206, -43.19642"
31444.694444444445,48,0,11,4,2,748.8031960000001,"0.001654, 16.4206, -43.19642"
31480.194444444445,64,0,11,4,2,1014.496764,"0.001654, 16.4206, -43.19642"
31483.25,38,0,11,4,2,583.174756,"0.001654, 16.4206, -43.19642"
31496.0,52,0,11,4,2,815.147196,"0.001654, 16.4206, -43.19642"
31509.027777777777,35,0,11,4,2,533.55073,"0.001654, 16.4206, -43.19642"
31910.0,90,0,11,4,2,1448.0549800000001,"0.001654, 16.4206, -43.19642"
31913.305555555555,40,0,11,4,2,616.27398,"0.001654, 16.4206, -43.19642"
31966.083333333332,54,0,11,4,2,848.3390440000001,"0.001654, 16.4206, -43.19642"
32001.194444444445,54,0,11,4,2,848.3390440000001,"0.001654, 16.4206, -43.19642"
32062.277777777777,58,0,11,4,2,914.7624360000001,"0.001654, 16.4206, -43.19642"
32067.444444444445,137,0,11,4,2,2237.469706,"0.001654, 16.4206, -43.19642"
32115.11111111111,98,0,11,4,2,1581.907396,"0.001654, 16.4206, -43.19642"
32150.555555555555,31,0,11,4,2,467.43167400000004,"0.001654, 16.4206, -43.19642"
32240.88888888889,68,0,11,4,2,1081.0524759999998,"0.001654, 16.4206, -43.19642"
32264.722222222223,54,0,11,4,2,848.3390440000001,"0.001654, 16.4206, -43.19642"
32270.38888888889,62,0,11,4,2,981.238756,"0.001654, 16.4206, -43.19642"
32625.666666666668,41,0,11,4,2,632.828554,"0.001654, 16.4206, -43.19642"
32700.88888888889,1128,0,11,4,2,20583.763516,"0.001654, 16.4206, -43.19642"
32707.11111111111,156,1,11,4,2,2558.668924,"0.001654, 16.4206, -43.19642"
32731.944444444445,77,0,11,4,2,1230.996346,"0.001654, 16.4206, -43.19642"
32865.02777777778,103,0,11,4,2,1665.672666,"0.001654, 16.4206, -43.19642"
33080.97222222222,245,0,11,4,2,4079.1319299999996,"0.001654, 16.4206, -43.19642"
33249.22222222222,150,0,11,4,2,2457.10858,"0.001654, 16.4206, -43.19642"
33322.055555555555,36,0,11,4,2,550.0887640000001,"0.001654, 16.4206, -43.19642"
33428.083333333336,79,0,11,4,2,1264.353594,"0.001654, 16.4206, -43.19642"
33797.555555555555,115,0,11,4,2,1867.0467300000003,"0.001654, 16.4206, -43.19642"
33962.083333333336,1655,0,11,4,2,31663.24393,"0.001654, 16.4206, -43.19642"
34005.11111111111,33,0,11,4,2,500.48458600000004,"0.001654, 16.4206, -43.19642"
34098.63888888889,84,0,11,4,2,1347.8046040000002,"0.001654, 16.4206, -43.19642"
34334.77777777778,37,0,11,4,2,566.630106,"0.001654, 16.4206, -43.19642"
35108.055555555555,36,0,11,4,2,550.0887640000001,"0.001654, 16.4206, -43.19642"
35384.63888888889,59,0,11,4,2,931.376554,"0.001654, 16.4206, -43.19642"
36350.666666666664,34,0,11,4,2,517.016004,"0.001654, 16.4206, -43.19642"
36650.583333333336,81,0,11,4,2,1297.724074,"0.001654, 16.4206, -43.19642"
36904.333333333336,55,0,11,4,2,864.93993,"0.001654, 16.4206, -43.19642"
37341.444444444445,49,0,11,4,2,765.3842340000001,"0.001654, 16.4206, -43.19642"
39104.38888888889,63,0,11,4,2,997.8661060000002,"0.001654, 16.4206, -43.19642"
39633.22222222222,35,0,11,4,2,533.55073,"0.001654, 16.4206, -43.19642"
39894.583333333336,35,0,11,4,2,533.55073,"0.001654, 16.4206, -43.19642"
39903.22222222222,36,0,11,4,2,550.0887640000001,"0.001654, 16.4206, -43.19642"
40191.305555555555,32,0,11,4,2,483.95647600000007,"0.001654, 16.4206, -43.19642"
40593.805555555555,35,0,11,4,2,533.55073,"0.001654, 16.4206, -43.19642"
41028.083333333336,121,0,11,4,2,1967.9123940000002,"0.001654, 16.4206, -43.19642"
41409.38888888889,43,0,11,4,2,665.9476260000001,"0.001654, 16.4206, -43.19642"
41994.63888888889,32,0,11,4,2,483.95647600000007,"0.001654, 16.4206, -43.19642"
42696.72222222222,48,0,11,4,2,748.8031960000001,"0.001654, 16.4206, -43.19642"
44088.916666666664,33,0,11,4,2,500.48458600000004,"0.001654, 16.4206, -43.19642"
44665.194444444445,60,0,11,4,2,947.99398,"0.001654, 16.4206, -43.19642"
46969.13888888889,1715,0,11,4,2,32982.91873,"0.001654, 16.4206, -43.19642"
48252.61111111111,31,0,11,4,2,467.43167400000004,"0.001654, 16.4206, -43.19642"
48444.083333333336,31,0,11,4,2,467.43167400000004,"0.001654, 16.4206, -43.19642"
49892.47222222222,94,0,11,4,2,1514.954724,"0.001654, 16.4206, -43.19642"
49939.583333333336,34,0,11,4,2,517.016004,"0.001654, 16.4206, -43.19642"
50192.916666666664,47,0,11,4,2,732.225466,"0.001654, 16.4206, -43.19642"
50399.11111111111,37,0,11,4,2,566.630106,"0.001654, 16.4206, -43.19642"
50448.194444444445,86,0,11,4,2,1381.2081640000001,"0.001654, 16.4206, -43.19642"
50811.0,31,0,11,4,2,467.43167400000004,"0.001654, 16.4206, -43.19642"
51126.305555555555,48,0,11,4,2,748.8031960000001,"0.001654, 16.4206, -43.19642"
52591.22222222222,66,0,11,4,2,1047.768004,"0.001654, 16.4206, -43.19642"
53495.666666666664,53,0,11,4,2,831.741466,"0.001654, 16.4206, -43.19642"
54745.5,894,0,11,4,2,15958.756324,"0.001654, 16.4206, -43.19642"
54816.583333333336,58,0,11,4,2,914.7624360000001,"0.001654, 16.4206, -43.19642"
56588.27777777778,65,0,11,4,2,1031.1307299999999,"0.001654, 16.4206, -43.19642"
59925.055555555555,117,0,11,4,2,1900.655386,"0.001654, 16.4206, -43.19642"
59930.47222222222,85,0,11,4,2,1364.5047299999999,"0.001654, 16.4206, -43.19642"
60241.63888888889,65,0,11,4,2,1031.1307299999999,"0.001654, 16.4206, -43.19642"
62366.88888888889,100,0,11,4,2,1615.40358,"0.001654, 16.4206, -43.19642"
64437.02777777778,34,0,11,4,2,517.016004,"0.001654, 16.4206, -43.19642"
64937.694444444445,1547,0,11,4,2,29317.839466,"0.001654, 16.4206, -43.19642"
65000.333333333336,277,0,11,4,2,4632.219545999999,"0.001654, 16.4206, -43.19642"
66162.0,33,0,11,4,2,500.48458600000004,"0.001654, 16.4206, -43.19642"
69302.33333333333,151,0,11,4,2,2474.0270339999997,"0.001654, 16.4206, -43.19642"
69940.47222222222,43,0,11,4,2,665.9476260000001,"0.001654, 16.4206, -43.19642"
73409.5,824,0,11,4,2,14610.404284,"0.001654, 16.4206, -43.19642"
74445.19444444444,178,0,11,4,2,2932.075716,"0.001654, 16.4206, -43.19642"
75761.02777777778,55,0,11,4,2,864.93993,"0.001654, 16.4206, -43.19642"
77158.11111111111,67,0,11,4,2,1064.408586,"0.001654, 16.4206, -43.19642"
78940.47222222222,35,0,11,4,2,533.55073,"0.001654, 16.4206, -43.19642"
78990.91666666667,48,0,11,4,2,748.8031960000001,"0.001654, 16.4206, -43.19642"
82647.30555555556,35,0,11,4,2,533.55073,"0.001654, 16.4206, -43.19642"
83330.36111111111,72,0,11,4,2,1147.661116,"0.001654, 16.4206, -43.19642"
83938.05555555556,77,0,11,4,2,1230.996346,"0.001654, 16.4206, -43.19642"
87128.5,1551,0,11,4,2,29404.018234000003,"0.001654, 16.4206, -43.19642"
90497.25,43,0,11,4,2,665.9476260000001,"0.001654, 16.4206, -43.19642"
93742.55555555556,66,0,11,4,2,1047.768004,"0.001654, 16.4206, -43.19642"
93988.08333333333,1583,0,11,4,2,30095.353786,"0.001654, 16.4206, -43.19642"
94056.27777777778,1661,0,11,4,2,31794.675514000002,"0.001654, 16.4206, -43.19642"
94252.86111111111,40,0,11,4,2,616.27398,"0.001654, 16.4206, -43.19642"
96877.44444444444,121,0,11,4,2,1967.9123940000002,"0.001654, 16.4206, -43.19642"
101617.69444444444,33,0,11,4,2,500.48458600000004,"0.001654, 16.4206, -43.19642"
101644.77777777778,31,0,11,4,2,467.43167400000004,"0.001654, 16.4206, -43.19642"
102315.66666666667,38,0,11,4,2,583.174756,"0.001654, 16.4206, -43.19642"
105806.44444444444,212,0,11,4,2,3512.3081559999996,"0.001654, 16.4206, -43.19642"
106401.36111111111,32,0,11,4,2,483.95647600000007,"0.001654, 16.4206, -43.19642"
109604.77777777778,71,0,11,4,2,1131.003994,"0.001654, 16.4206, -43.19642"
112428.47222222222,50,0,11,4,2,781.96858,"0.001654, 16.4206, -43.19642"
112437.91666666667,1430,0,11,4,2,26820.526179999997,"0.001654, 16.4206, -43.19642"
